symbol,synonym_symbol,scientific_name,common_name,fips_code
ABAM,NA,Abies amabilis (Douglas ex Loudon) Douglas ex,Pacific silver fir,US02
ABIES,NA,Abies Mill.,fir,US02
ABLA,NA,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,US02
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (,NA,US02
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm,NA,US02
ABLAL,ABSU,Abies subalpina Engelmann,NA,US02
ABLAL,NA,Abies lasiocarpa (Hook.) Nutt. var. lasiocarp,subalpine fir,US02
ABLAL,ABBI3,Abies bifolia A. Murray bis,NA,US02
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (,NA,US02
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Ho,NA,US02
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US02
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US02
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US02
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US02
ACCI,NA,Acer circinatum Pursh,vine maple,US02
ACDE2,NA,Aconitum delphiniifolium DC.,larkspurleaf monkshood,US02
ACDEC,NA,Aconitum delphiniifolium DC. ssp. chamissonia,larkspurleaf monkshood,US02
ACDED3,ACDEA,Aconitum delphiniifolium DC. var. albiflorum ,NA,US02
ACDED3,NA,Aconitum delphiniifolium DC. ssp. delphiniifo,larkspurleaf monkshood,US02
ACDEP,ACNI3,Aconitum nivatum A. Nelson,NA,US02
ACDEP,NA,Aconitum delphiniifolium DC. ssp. paradoxum (,larkspurleaf monkshood,US02
ACER,NA,Acer L.,maple,US02
ACGL,NA,Acer glabrum Torr.,Rocky Mountain maple,US02
ACGLD4,ACGLD2,Acer glabrum Torr. ssp. douglasii (Hook.) Wes,NA,US02
ACGLD4,ACDO,Acer douglasii Hook.,NA,US02
ACGLD4,NA,Acer glabrum Torr. var. douglasii (Hook.) Dip,Douglas maple,US02
ACHIL,NA,Achillea L.,yarrow,US02
ACHNA,NA,Achnatherum P. Beauv.,needlegrass,US02
ACMA4,NA,Aconitum maximum Pall. ex DC.,Kamchatka aconite,US02
ACMI2,NA,Achillea millefolium L.,common yarrow,US02
ACMIA,ACMIF,Achillea millefolium L. var. fusca (Rydb.) G.,NA,US02
ACMIA,ACFU,Achillea fusca Rydb.,NA,US02
ACMIA,NA,Achillea millefolium L. var. alpicola (Rydb.),common yarrow,US02
ACMIA,ACSU3,Achillea subalpina Greene,NA,US02
ACMIA,ACLAA,Achillea lanulosa Nutt. ssp. alpicola (Rydb.),NA,US02
ACMIA,ACAL11,Achillea alpicola (Rydb.) Rydb.,NA,US02
ACMIA,ACLAA2,Achillea lanulosa Nutt. var. alpicola Rydb.,NA,US02
ACMIB,ACBO,Achillea borealis Bong.,NA,US02
ACMIB,ACBOT,Achillea borealis Bong. ssp. typica D.D. Keck,NA,US02
ACMIB,ACMIB2,Achillea millefolium L. ssp. borealis (Bong.),NA,US02
ACMIB,NA,Achillea millefolium L. var. borealis (Bong.),boreal yarrow,US02
ACMIB,ACMIF2,Achillea millefolium L. var. fulva B. Boivin,NA,US02
ACMIB,ACMIP4,Achillea millefolium L. var. parvula B. Boivi,NA,US02
ACMIB,ACMIP3,Achillea millefolium L. var. parviligula B. B,NA,US02
ACMIB,ACMIA3,Achillea millefolium L. ssp. atrotegula B. Bo,NA,US02
ACMIN,ACNI4,Achillea nigrescens (E. Mey.) Rydb.,NA,US02
ACMIN,NA,Achillea millefolium L. var. nigrescens E. Me,common yarrow,US02
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US02
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US02
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US02
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US02
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US02
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US02
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US02
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US02
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US02
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US02
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US02
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US02
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US02
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US02
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US02
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US02
ACMIO,ACER2,Achillea eradiata Piper,NA,US02
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US02
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US02
ACMIO,ACRO4,Achillea rosea Desf.,NA,US02
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US02
ACMIP,ACPA5,Achillea pacifica Rydb.,NA,US02
ACMIP,NA,Achillea millefolium L. var. pacifica (Rydb.),Pacific yarrow,US02
ACONI,NA,Aconitum L.,monkshood,US02
ACORU,NA,Acorus L.,sweetflag,US02
