symbol,synonym_symbol,scientific_name,common_name,fips_code
ABFR3,NA,Abutilon fruticosum Guill. & Perr.,Texas Indian mallow,US05
ABFR3,ABTE,Abutilon texense Torr. & A. Gray,NA,US05
ABPR3,NA,Abrus precatorius L.,rosarypea,US05
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",NA,US05
ABRUS,NA,Abrus Adans.,abrus,US05
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US05
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US05
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US05
ABUTI,NA,Abutilon Mill.,Indian mallow,US05
ACACI2,NA,Acaciella Britton & Rose,NA,US05
ACALY,NA,Acalypha L.,copperleaf,US05
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,NA,US05
ACAN11,NA,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,US05
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,NA,US05
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texen,NA,US05
ACANH2,NA,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,US05
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta,NA,US05
ACANH2,ACHI3,Acacia hirta Nutt.,NA,US05
ACANH2,ACCU,Acacia cuspidata Schltdl.,NA,US05
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,NA,US05
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspi,NA,US05
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose,NA,US05
ACANT3,NA,Acanthospermum Schrank,starbur,US05
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US05
ACAU2,NA,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US05
ACAU2,ACXA,Acanthospermum xanthioides DC.,NA,US05
ACAU2,MEAU,Melampodium australe Loefl.,NA,US05
ACCA4,NA,Acorus calamus L.,calamus,US05
ACCH5,NA,Actinidia chinensis Planch.,kiwi,US05
ACCHD,NA,Actinidia chinensis Planch. var. deliciosa (A,kiwi,US05
ACDE4,NA,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,US05
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,NA,US05
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.),NA,US05
ACER,NA,Acer L.,maple,US05
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US05
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US05
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US05
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US05
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US05
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US05
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US05
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,NA,US05
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chap,NA,US05
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US05
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US05
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US05
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US05
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US05
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US05
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US05
ACHIL,NA,Achillea L.,yarrow,US05
ACHNA,NA,Achnatherum P. Beauv.,needlegrass,US05
ACHY,ERCU9,Eriocoma cuspidata Nutt.,NA,US05
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker,NA,US05
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,NA,US05
ACHY,NA,Achnatherum hymenoides (Roem. & Schult.) Bark,Indian ricegrass,US05
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small),NA,US05
ACLE,NA,Acer leucoderme Small,chalk maple,US05
