symbol,synonym_symbol,scientific_name,common_name,fips_code
ABBA,NA,Abies balsamea (L.) Mill.,balsam fir,US09
ABBAB,PIBA3,Pinus balsamea L.,NA,US09
ABBAB,NA,Abies balsamea (L.) Mill. var. balsamea,balsam fir,US09
ABELM,NA,Abelmoschus Medik.,okra,US09
ABES,NA,Abelmoschus esculentus (L.) Moench,okra,US09
ABES,HIES,Hibiscus esculentus L.,NA,US09
ABIES,NA,Abies Mill.,fir,US09
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US09
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US09
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US09
ABUTI,NA,Abutilon Mill.,Indian mallow,US09
ACAG3,NA,Achillea ageratum L.,sweet-Nancy,US09
ACALY,NA,Acalypha L.,copperleaf,US09
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US09
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US09
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US09
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US09
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US09
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US09
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US09
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US09
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US09
ACCA4,NA,Acorus calamus L.,calamus,US09
ACER,NA,Acer L.,maple,US09
ACGI,NA,Acer ginnala Maxim.,Amur maple,US09
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesma,NA,US09
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US09
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US09
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US09
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US09
ACHIL,NA,Achillea L.,yarrow,US09
ACINO,NA,Acinos Mill.,acinos,US09
ACMI2,NA,Achillea millefolium L.,common yarrow,US09
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US09
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US09
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US09
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US09
ACMIO,ACRO4,Achillea rosea Desf.,NA,US09
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US09
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US09
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US09
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US09
ACMIO,ACER2,Achillea eradiata Piper,NA,US09
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US09
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US09
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US09
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US09
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US09
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US09
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US09
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US09
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US09
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US09
