symbol,synonym_symbol,scientific_name,common_name,fips_code
ABRUS,,Abrus Adans.,abrus,US12
ABPR3,,Abrus precatorius L.,rosarypea,US12
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,US12
ABUTI,,Abutilon Mill.,Indian mallow,US12
ABTH,,Abutilon theophrasti Medik.,velvetleaf,US12
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,US12
ABTH,ABAV,Abutilon avicennae Gaertn.,,US12
ACALY,,Acalypha L.,copperleaf,US12
ACAL2,,Acalypha alopecuroidea Jacq.,foxtail copperleaf,US12
ACAL2,ACAR17,Acalypha aristata Kunth,,US12
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,US12
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,US12
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,US12
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,US12
ACOS,ACCA8,Acalypha caroliniana Elliott,,US12
ACOS,,Acalypha ostryifolia Riddell,pineland threeseed mercury,US12
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,US12
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,US12
ACSE,,Acalypha setosa A. Rich.,Cuban copperleaf,US12
ACANT3,,Acanthospermum Schrank,starbur,US12
ACAU2,ACXA,Acanthospermum xanthioides DC.,,US12
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US12
ACAU2,MEAU,Melampodium australe Loefl.,,US12
ACHI,,Acanthospermum hispidum DC.,hispid starbur,US12
ACHU,MEHU5,Melampodium humile Sw.,,US12
ACHU,,Acanthospermum humile (Sw.) DC.,low starbur,US12
ACER,,Acer L.,maple,US12
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Rehder,,US12
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,US12
