symbol,synonym_symbol,scientific_name,common_name,fips_code
ABBA,NA,Abies balsamea (L.) Mill.,balsam fir,US19
ABBAB,NA,Abies balsamea (L.) Mill. var. balsamea,balsam fir,US19
ABBAB,PIBA3,Pinus balsamea L.,NA,US19
ABIES,NA,Abies Mill.,fir,US19
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US19
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US19
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US19
ABUTI,NA,Abutilon Mill.,Indian mallow,US19
ACALY,NA,Acalypha L.,copperleaf,US19
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US19
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US19
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US19
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US19
ACCA4,NA,Acorus calamus L.,calamus,US19
ACCO4,NA,Aconitum columbianum Nutt.,Columbian monkshood,US19
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Pipe,NA,US19
ACCOC3,ACGE3,Aconitum geranioides Greene,NA,US19
ACCOC3,ACMO3,Aconitum mogollonicum Greene,NA,US19
ACCOC3,NA,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,US19
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A,NA,US19
ACCOC3,ACLE6,Aconitum leibergii Greene,NA,US19
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Green,NA,US19
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,NA,US19
ACDE4,NA,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,US19
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.),NA,US19
ACER,NA,Acer L.,maple,US19
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesma,NA,US19
ACGI,NA,Acer ginnala Maxim.,Amur maple,US19
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US19
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US19
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US19
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US19
ACHIL,NA,Achillea L.,yarrow,US19
ACMI2,NA,Achillea millefolium L.,common yarrow,US19
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US19
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US19
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US19
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US19
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US19
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US19
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US19
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US19
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US19
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US19
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US19
ACMIO,ACER2,Achillea eradiata Piper,NA,US19
