symbol,synonym_symbol,scientific_name,common_name,fips_code
ABBA,NA,Abies balsamea (L.) Mill.,balsam fir,US25
ABBAB,NA,Abies balsamea (L.) Mill. var. balsamea,balsam fir,US25
ABBAB,PIBA3,Pinus balsamea L.,NA,US25
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hil,NA,US25
ABCO,NA,Abies concolor (Gord. & Glend.) Lindl. ex Hil,white fir,US25
ABIES,NA,Abies Mill.,fir,US25
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US25
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US25
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US25
ABUTI,NA,Abutilon Mill.,Indian mallow,US25
ACALY,NA,Acalypha L.,copperleaf,US25
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US25
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US25
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US25
ACANT3,NA,Acanthospermum Schrank,starbur,US25
ACAR10,NA,Actinidia arguta (Siebold & Zucc.) Planch. ex,tara vine,US25
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US25
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US25
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US25
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US25
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US25
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US25
ACAU2,MEAU,Melampodium australe Loefl.,NA,US25
ACAU2,NA,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US25
ACAU2,ACXA,Acanthospermum xanthioides DC.,NA,US25
ACCA4,NA,Acorus calamus L.,calamus,US25
ACCA5,NA,Acer campestre L.,hedge maple,US25
ACDI6,NA,Achillea distans Waldst. & Kit. ex Willd.,Alps yarrow,US25
ACDI6,ACDE10,Achillea dentifera DC.,NA,US25
ACER,NA,Acer L.,maple,US25
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesma,NA,US25
ACGI,NA,Acer ginnala Maxim.,Amur maple,US25
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US25
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US25
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US25
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US25
ACHIL,NA,Achillea L.,yarrow,US25
ACINO,NA,Acinos Mill.,acinos,US25
ACLI2,NA,Achillea ligustica All.,Ligurian yarrow,US25
ACMI2,NA,Achillea millefolium L.,common yarrow,US25
ACMIB,ACBOT,Achillea borealis Bong. ssp. typica D.D. Keck,NA,US25
ACMIB,ACBO,Achillea borealis Bong.,NA,US25
ACMIB,ACMIB2,Achillea millefolium L. ssp. borealis (Bong.),NA,US25
ACMIB,ACMIA3,Achillea millefolium L. ssp. atrotegula B. Bo,NA,US25
ACMIB,ACMIP4,Achillea millefolium L. var. parvula B. Boivi,NA,US25
ACMIB,NA,Achillea millefolium L. var. borealis (Bong.),boreal yarrow,US25
ACMIB,ACMIP3,Achillea millefolium L. var. parviligula B. B,NA,US25
ACMIB,ACMIF2,Achillea millefolium L. var. fulva B. Boivin,NA,US25
ACMIM2,ACMA14,Achillea magna auct.,NA,US25
ACMIM2,NA,Achillea millefolium L. var. millefolium,common yarrow,US25
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US25
ACMIO,ACER2,Achillea eradiata Piper,NA,US25
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US25
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US25
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US25
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US25
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US25
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US25
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US25
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US25
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US25
