symbol,synonym_symbol,scientific_name,common_name,fips_code
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucesc,NA,US30
ABFR2,NA,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,US30
ABGR,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var.,NA,US30
ABGR,ABGRJ,Abies grandis (Douglas ex D. Don) Lindl. f. j,NA,US30
ABGR,NA,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,US30
ABGR,ABGRI,Abies grandis (Douglas ex D. Don) Lindl. var.,NA,US30
ABGR,ABGRI2,Abies grandis (Douglas ex D. Don) Lindl. ssp.,NA,US30
ABIES,NA,Abies Mill.,fir,US30
ABLA,NA,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,US30
ABLAL,ABBI3,Abies bifolia A. Murray bis,NA,US30
ABLAL,NA,Abies lasiocarpa (Hook.) Nutt. var. lasiocarp,subalpine fir,US30
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (,NA,US30
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Ho,NA,US30
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (,NA,US30
ABLAL,ABSU,Abies subalpina Engelmann,NA,US30
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm,NA,US30
ABRON,NA,Abronia Juss.,sand verbena,US30
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US30
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US30
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US30
ABUTI,NA,Abutilon Mill.,Indian mallow,US30
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US30
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US30
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US30
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US30
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US30
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US30
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US30
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US30
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US30
ACBL,STBL4,Stipa bloomeri Bol.,NA,US30
ACBL,NA,Achnatherum ×bloomeri (Bol.) Barkworth [hymen,NA,US30
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,NA,US30
