symbol,synonym_symbol,scientific_name,common_name,fips_code
ABFR2,NA,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,US31
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucesc,NA,US31
ABRON,NA,Abronia Juss.,sand verbena,US31
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US31
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US31
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US31
ABUTI,NA,Abutilon Mill.,Indian mallow,US31
ACALY,NA,Acalypha L.,copperleaf,US31
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US31
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US31
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US31
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US31
ACCA32,STCA22,Stipa caduca (Beal) Scribn.,NA,US31
ACCA32,STCA13,×Stiporyzopsis caduca (Beal) B.L. Johnson & R,NA,US31
ACCA32,NA,×Achnella caduca (Beal) Barkworth [Achnatheru,Mandan ricegrass,US31
ACCA32,ORCA9,Oryzopsis caduca Beal,NA,US31
ACCA4,NA,Acorus calamus L.,calamus,US31
ACER,NA,Acer L.,maple,US31
ACGL,NA,Acer glabrum Torr.,Rocky Mountain maple,US31
ACGLG2,NA,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,US31
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex,NA,US31
ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,NA,US31
ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Kel,NA,US31
ACHIL,NA,Achillea L.,yarrow,US31
ACHNA,NA,Achnatherum P. Beauv.,needlegrass,US31
ACHNE,NA,×Achnella Barkworth,ricegrass,US31
ACHY,NA,Achnatherum hymenoides (Roem. & Schult.) Bark,Indian ricegrass,US31
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,NA,US31
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker,NA,US31
