symbol,synonym_symbol,scientific_name,common_name,fips_code
ABAB70,HYAB,Hypnum abietinum Hedw.,NA,US34
ABAB70,NA,Abietinella abietina (Hedw.) Fleisch.,abietinella moss,US34
ABAB70,THAB70,Thuidium abietinum (Hedw.) Schimp.,NA,US34
ABBA,NA,Abies balsamea (L.) Mill.,balsam fir,US34
ABIES,NA,Abies Mill.,fir,US34
ABIET,NA,Abietinella Müll. Hal.,abietenella moss,US34
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US34
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US34
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US34
ABUTI,NA,Abutilon Mill.,Indian mallow,US34
ACALY,NA,Acalypha L.,copperleaf,US34
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US34
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US34
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US34
ACANT3,NA,Acanthospermum Schrank,starbur,US34
ACAR10,NA,Actinidia arguta (Siebold & Zucc.) Planch. ex,tara vine,US34
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US34
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US34
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US34
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US34
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US34
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US34
ACAU6,NA,Acalypha australis L.,Asian copperleaf,US34
ACCA4,NA,Acorus calamus L.,calamus,US34
ACCA5,NA,Acer campestre L.,hedge maple,US34
ACDE5,SPAMS,Spilanthes americana (Mutis ex L. f.) Hieron.,NA,US34
ACDE5,NA,Acmella decumbens (Sm.) R.K. Jansen,creeping spotflower,US34
ACDE5,SPST4,Spilanthes stolonifera DC.,NA,US34
ACER,NA,Acer L.,maple,US34
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesma,NA,US34
ACGI,NA,Acer ginnala Maxim.,Amur maple,US34
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US34
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US34
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US34
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US34
ACHI,NA,Acanthospermum hispidum DC.,hispid starbur,US34
ACHIL,NA,Achillea L.,yarrow,US34
ACICA,NA,Acicarpha Juss.,acicarpha,US34
ACINO,NA,Acinos Mill.,acinos,US34
ACLU,NA,Actaea ×ludovici B. Boivin [pachypoda × rubra,baneberry,US34
ACMEL,NA,Acmella Rich. ex Pers.,spotflower,US34
ACMI2,NA,Achillea millefolium L.,common yarrow,US34
ACMIM2,ACMA14,Achillea magna auct.,NA,US34
ACMIM2,NA,Achillea millefolium L. var. millefolium,common yarrow,US34
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US34
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US34
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US34
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US34
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US34
ACMIO,ACER2,Achillea eradiata Piper,NA,US34
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US34
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US34
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US34
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US34
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US34
ACMIO,ACRO4,Achillea rosea Desf.,NA,US34
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US34
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US34
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US34
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US34
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US34
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US34
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US34
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US34
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US34
ACNE2,NA,Acer negundo L.,boxelder,US34
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",NA,US34
ACNEN,NEAC,Negundo aceroides (L.) Moench,NA,US34
ACNEN,NA,Acer negundo L. var. negundo,boxelder,US34
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,NA,US34
ACNEV,NA,Acer negundo L. var. violaceum (G. Kirchn.) H,boxelder,US34
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum ,NA,US34
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,NA,US34
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,NA,US34
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f,NA,US34
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt),NA,US34
ACNI5,NA,Acer nigrum Michx. f.,black maple,US34
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f,NA,US34
ACORU,NA,Acorus L.,sweetflag,US34
ACOS,NA,Acalypha ostryifolia Riddell,pineland threeseed mercury,US34
ACOS,ACCA8,Acalypha caroliniana Elliott,NA,US34
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,NA,US34
ACPA,NA,Actaea pachypoda Elliott,white baneberry,US34
ACPA2,NA,Acer palmatum Thunb.,Japanese maple,US34
ACPE,NA,Acer pensylvanicum L.,striped maple,US34
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nichol,NA,US34
ACPL,NA,Acer platanoides L.,Norway maple,US34
ACPO,NA,Acalypha poiretii Spreng.,Poiret's copperleaf,US34
ACPO,ACIN,"Acalypha indica Vell., non L.",NA,US34
ACPS,NA,Acer pseudoplatanus L.,sycamore maple,US34
ACPT,NA,Achillea ptarmica L.,sneezeweed,US34
ACRA7,NA,Actaea racemosa L.,black baneberry,US34
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,NA,US34
