symbol,synonym_symbol,scientific_name,common_name,fips_code
ABAN,ABTO,Abronia torreyi Standl.,NA,US35
ABAN,NA,Abronia angustifolia Greene,purple sand verbena,US35
ABAN,ABANA,Abronia angustifolia Greene var. arizonica (S,NA,US35
ABBI,NA,Abronia bigelovii Heimerl,Galisteo sand verbena,US35
ABBO,NA,"Abronia bolackii N.D. Atwood, S.L. Welsh & K.",Bolack's sand verbena,US35
ABCA,NA,Abronia carletonii J.M. Coult. & Fisher,Carleton's sand verbena,US35
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hil,NA,US35
ABCO,NA,Abies concolor (Gord. & Glend.) Lindl. ex Hil,white fir,US35
ABEL,NA,Abronia elliptica A. Nelson,fragrant white sand verbena,US35
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptic,NA,US35
ABEL,ABRA,Abronia ramosa Standl.,NA,US35
ABEL,ABPU2,Abronia pumila Rydb.,NA,US35
ABEL,ABSA3,Abronia salsa Rydb.,NA,US35
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucesc,NA,US35
ABFR2,NA,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,US35
ABIES,NA,Abies Mill.,fir,US35
ABIN,NA,Abutilon incanum (Link) Sweet,pelotazo,US35
ABIN,ABINI,Abutilon incanum (Link) Sweet ssp. incanum,NA,US35
ABIN,ABINP,Abutilon incanum (Link) Sweet ssp. pringlei (,NA,US35
ABIN,ABPR4,Abutilon pringlei Hochr.,NA,US35
ABLA,NA,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,US35
ABLAA,NA,Abies lasiocarpa (Hook.) Nutt. var. arizonica,corkbark fir,US35
ABLAA,ABAR2,Abies arizonica Merriam,NA,US35
ABLAL,ABBI3,Abies bifolia A. Murray bis,NA,US35
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Ho,NA,US35
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm,NA,US35
ABLAL,ABSU,Abies subalpina Engelmann,NA,US35
ABLAL,NA,Abies lasiocarpa (Hook.) Nutt. var. lasiocarp,subalpine fir,US35
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (,NA,US35
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (,NA,US35
ABMA3,NA,Abutilon malacum S. Watson,yellow Indian mallow,US35
