symbol,synonym_symbol,scientific_name,common_name,fips_code
ABBA,NA,Abies balsamea (L.) Mill.,balsam fir,US39
ABBAB,NA,Abies balsamea (L.) Mill. var. balsamea,balsam fir,US39
ABBAB,PIBA3,Pinus balsamea L.,NA,US39
ABIES,NA,Abies Mill.,fir,US39
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US39
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US39
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US39
ABUTI,NA,Abutilon Mill.,Indian mallow,US39
ACALY,NA,Acalypha L.,copperleaf,US39
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US39
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US39
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US39
ACAR10,NA,Actinidia arguta (Siebold & Zucc.) Planch. ex,tara vine,US39
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US39
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US39
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US39
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US39
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US39
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US39
ACCA4,NA,Acorus calamus L.,calamus,US39
ACCA5,NA,Acer campestre L.,hedge maple,US39
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.),NA,US39
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,NA,US39
ACDE4,NA,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,US39
ACER,NA,Acer L.,maple,US39
ACFR,NA,Acer ×freemanii A.E. Murray [rubrum × sacchar,Freeman maple,US39
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesma,NA,US39
ACGI,NA,Acer ginnala Maxim.,Amur maple,US39
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US39
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US39
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US39
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US39
ACHIL,NA,Achillea L.,yarrow,US39
ACHYR2,NA,Achyranthes L.,chaff flower,US39
ACINO,NA,Acinos Mill.,acinos,US39
ACJA,NA,Achyranthes japonica (Miq.) Nakai,Japanese chaff flower,US39
ACJAH,NA,Achyranthes japonica (Miq.) Nakai var. hachij,Japanese chaff flower,US39
ACMI2,NA,Achillea millefolium L.,common yarrow,US39
ACMIM2,NA,Achillea millefolium L. var. millefolium,common yarrow,US39
ACMIM2,ACMA14,Achillea magna auct.,NA,US39
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US39
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US39
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US39
ACMIO,ACER2,Achillea eradiata Piper,NA,US39
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US39
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US39
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US39
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US39
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US39
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US39
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US39
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US39
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US39
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US39
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US39
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US39
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US39
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US39
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US39
ACMIO,ACRO4,Achillea rosea Desf.,NA,US39
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US39
ACNE2,NA,Acer negundo L.,boxelder,US39
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",NA,US39
ACNEN,NA,Acer negundo L. var. negundo,boxelder,US39
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,NA,US39
ACNEN,NEAC,Negundo aceroides (L.) Moench,NA,US39
ACNEV,NA,Acer negundo L. var. violaceum (G. Kirchn.) H,boxelder,US39
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum ,NA,US39
ACNI5,NA,Acer nigrum Michx. f.,black maple,US39
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt),NA,US39
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f,NA,US39
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f,NA,US39
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,NA,US39
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,NA,US39
ACNO2,ACNOQ,Aconitum noveboracense A. Gray ex Coville var,NA,US39
ACNO2,NA,Aconitum noveboracense A. Gray ex Coville,northern blue monkshood,US39
ACNO2,ACUNN,Aconitum uncinatum L. ssp. noveboracense (A. ,NA,US39
ACONI,NA,Aconitum L.,monkshood,US39
ACORU,NA,Acorus L.,sweetflag,US39
ACOS,NA,Acalypha ostryifolia Riddell,pineland threeseed mercury,US39
ACOS,ACCA8,Acalypha caroliniana Elliott,NA,US39
ACPA,NA,Actaea pachypoda Elliott,white baneberry,US39
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,NA,US39
ACPA2,NA,Acer palmatum Thunb.,Japanese maple,US39
ACPE,NA,Acer pensylvanicum L.,striped maple,US39
ACPL,NA,Acer platanoides L.,Norway maple,US39
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nichol,NA,US39
ACPT,NA,Achillea ptarmica L.,sneezeweed,US39
ACRA7,NA,Actaea racemosa L.,black baneberry,US39
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,NA,US39
ACRAR,NA,Actaea racemosa L. var. racemosa,black bugbane,US39
ACRE3,CEPI3,Centaurea picris Pall. ex Willd.,NA,US39
ACRE3,CERE6,Centaurea repens L.,NA,US39
ACRE3,NA,Acroptilon repens (L.) DC.,hardheads,US39
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) ,NA,US39
ACRH,NA,Acalypha rhomboidea Raf.,common threeseed mercury,US39
ACROP,NA,Acroptilon Cass.,hardheads,US39
ACRU,NA,Acer rubrum L.,red maple,US39
ACRU,ACBA2,Acer barbatum Michx. p.p.,NA,US39
ACRU2,NA,Actaea rubra (Aiton) Willd.,red baneberry,US39
ACRUR,ACST,Acer stenocarpum Britton,NA,US39
ACRUR,NA,Acer rubrum L. var. rubrum,red maple,US39
ACRUR,RURU5,Rufacer rubrum (L.) Small,NA,US39
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,NA,US39
ACRUR2,NA,Actaea rubra (Aiton) Willd. ssp. rubra,red baneberry,US39
ACRUR2,ACSPR3,Actaea spicata L. ssp. rubra (Aiton) Hultén,NA,US39
ACRUR2,ACRUR3,Actaea rubra (Aiton) Willd. var. rubra,NA,US39
ACRUT,ACCA9,Acer carolinianum Walter,NA,US39
ACRUT,NA,Acer rubrum L. var. trilobum Torr. & A. Gray ,red maple,US39
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,NA,US39
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,NA,US39
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,NA,US39
ACSA2,ACDA2,Acer dasycarpum Ehrh.,NA,US39
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,NA,US39
ACSA2,NA,Acer saccharinum L.,silver maple,US39
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,NA,US39
ACSA3,NA,Acer saccharum Marshall,sugar maple,US39
ACSAS,NA,Acer saccharum Marshall var. saccharum,sugar maple,US39
ACSAS,ACNIS2,Acer nigrum Michx. f. var. saccharophorum (K.,NA,US39
ACSAS,ACNIG,Acer nigrum Michx. f. var. glaucum (F. Schmid,NA,US39
ACSAS,ACSAR,Acer saccharum Marshall var. rugellii (Pax) R,NA,US39
ACSAS,SASA18,Saccharodendron saccharum (Marshall) Moldenke,NA,US39
ACSAS,ACSAG,Acer saccharum Marshall var. glaucum (F. Schm,NA,US39
ACSAS2,ACSAS4,Acer saccharum Marshall ssp. schneckii (Rehde,NA,US39
ACSAS2,NA,Acer saccharum Marshall var. schneckii Rehder,sugar maple,US39
ACSAS2,ACSAO,Acer saccharum Marshall ssp. ozarkense A.E. M,NA,US39
ACSP2,NA,Acer spicatum Lam.,mountain maple,US39
ACTA80,NA,Acer tataricum L.,tatarian maple,US39
ACTAE,NA,Actaea L.,baneberry,US39
ACTIN3,NA,Actinidia Lindl.,actinidia,US39
ACUN,NA,Aconitum uncinatum L.,southern blue monkshood,US39
ACUNU,ACUNA,Aconitum uncinatum L. var. acutidens Fernald,NA,US39
ACUNU,NA,Aconitum uncinatum L. ssp. uncinatum,southern blue monkshood,US39
