symbol,synonym_symbol,scientific_name,common_name,fips_code
ABAB,NA,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indian mallow,US72
ABAB,ABAM5,Abutilon americanum (L.) Sweet,NA,US72
ABAB,ABJA,Abutilon jacquinii G. Don,NA,US72
ABELM,NA,Abelmoschus Medik.,okra,US72
ABES,NA,Abelmoschus esculentus (L.) Moench,okra,US72
ABES,HIES,Hibiscus esculentus L.,NA,US72
ABHI,NA,Abutilon hirtum (Lam.) Sweet,Florida Keys Indian mallow,US72
ABHU,NA,Abutilon hulseanum (Torr. & A. Gray) Torr. ex,mauve,US72
ABHU,ABPA4,Abutilon pauciflorum Sweet,NA,US72
ABHU,ABCO2,Abutilon commutatum auct. non K. Schum.,NA,US72
ABILD,NA,Abildgaardia Vahl,sedge,US72
ABIN3,NA,Abutilon indicum (L.) Sweet,monkeybush,US72
ABMO,NA,Abelmoschus moschatus Medik.,musk okra,US72
ABMO,HIAB,Hibiscus abelmoschus L.,NA,US72
ABOV,FIMO2,Fimbristylis monostachya (L.) Hassk.,NA,US72
ABOV,CYMO10,Cyperus monostachyos L.,NA,US72
ABOV,FIOV,Fimbristylis ovata (Burm. f.) J. Kern,NA,US72
ABOV,NA,Abildgaardia ovata (Burm. f.) Kral,flatspike sedge,US72
ABOV,ABMO4,Abildgaardia monostachya (L.) Vahl,NA,US72
ABPE,NA,Abutilon permolle (Willd.) Sweet,coastal Indian mallow,US72
ABPR3,NA,Abrus precatorius L.,rosarypea,US72
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",NA,US72
ABRUS,NA,Abrus Adans.,abrus,US72
ABUTI,NA,Abutilon Mill.,Indian mallow,US72
ACAL2,NA,Acalypha alopecuroidea Jacq.,foxtail copperleaf,US72
ACAL2,ACAR17,Acalypha aristata Kunth,NA,US72
ACALY,NA,Acalypha L.,copperleaf,US72
ACANT3,NA,Acanthospermum Schrank,starbur,US72
ACAR,NA,Acnistus arborescens (L.) Schltdl.,hollowheart,US72
ACAR,DUAR4,Dunalia arborescens (L.) Sleumer,NA,US72
ACAS,ACCA37,Achyranthes canescens R. Br.,NA,US72
ACAS,NA,Achyranthes aspera L.,devil's horsewhip,US72
ACASA,NA,Achyranthes aspera L. var. aspera,devil's horsewhip,US72
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,NA,US72
ACASA,CEIN6,Centrostachys indica (L.) Standl.,NA,US72
