symbol,synonym_symbol,scientific_name,common_name,fips_code
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucesc,NA,US46
ABFR2,NA,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,US46
ABRON,NA,Abronia Juss.,sand verbena,US46
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US46
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US46
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US46
ABUTI,NA,Abutilon Mill.,Indian mallow,US46
ACALY,NA,Acalypha L.,copperleaf,US46
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US46
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US46
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US46
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US46
ACCA4,NA,Acorus calamus L.,calamus,US46
ACCO4,NA,Aconitum columbianum Nutt.,Columbian monkshood,US46
ACCOC3,ACGE3,Aconitum geranioides Greene,NA,US46
ACCOC3,ACLE6,Aconitum leibergii Greene,NA,US46
ACCOC3,NA,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,US46
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Pipe,NA,US46
ACCOC3,ACMO3,Aconitum mogollonicum Greene,NA,US46
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A,NA,US46
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Green,NA,US46
ACER,NA,Acer L.,maple,US46
ACGL,NA,Acer glabrum Torr.,Rocky Mountain maple,US46
ACGLG2,NA,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,US46
ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,NA,US46
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex,NA,US46
ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Kel,NA,US46
ACHIL,NA,Achillea L.,yarrow,US46
ACHNA,NA,Achnatherum P. Beauv.,needlegrass,US46
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,NA,US46
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker,NA,US46
ACHY,ERCU9,Eriocoma cuspidata Nutt.,NA,US46
ACHY,NA,Achnatherum hymenoides (Roem. & Schult.) Bark,Indian ricegrass,US46
ACMI2,NA,Achillea millefolium L.,common yarrow,US46
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US46
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US46
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US46
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US46
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US46
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US46
ACMIO,ACER2,Achillea eradiata Piper,NA,US46
ACMIO,ACRO4,Achillea rosea Desf.,NA,US46
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US46
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US46
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US46
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US46
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US46
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US46
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US46
