symbol,synonym_symbol,scientific_name,common_name,fips_code
ABFR,PIFR,Pinus fraseri Pursh,NA,US47
ABFR,NA,Abies fraseri (Pursh) Poir.,Fraser fir,US47
ABIES,NA,Abies Mill.,fir,US47
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US47
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US47
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US47
ABUTI,NA,Abutilon Mill.,Indian mallow,US47
ACALY,NA,Acalypha L.,copperleaf,US47
ACANT3,NA,Acanthospermum Schrank,starbur,US47
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US47
ACAU2,ACXA,Acanthospermum xanthioides DC.,NA,US47
ACAU2,MEAU,Melampodium australe Loefl.,NA,US47
ACAU2,NA,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US47
ACCA4,NA,Acorus calamus L.,calamus,US47
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,NA,US47
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.),NA,US47
ACDE4,NA,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,US47
ACER,NA,Acer L.,maple,US47
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US47
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,NA,US47
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US47
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US47
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US47
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US47
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US47
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US47
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US47
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US47
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US47
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chap,NA,US47
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US47
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US47
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US47
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US47
ACHIL,NA,Achillea L.,yarrow,US47
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Smal,NA,US47
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small),NA,US47
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,NA,US47
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Smal,NA,US47
ACLE,NA,Acer leucoderme Small,chalk maple,US47
ACMEL,NA,Acmella Rich. ex Pers.,spotflower,US47
ACMI2,NA,Achillea millefolium L.,common yarrow,US47
ACMIO,ACRO4,Achillea rosea Desf.,NA,US47
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US47
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US47
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US47
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US47
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US47
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US47
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US47
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US47
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US47
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US47
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US47
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US47
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US47
ACMIO,ACER2,Achillea eradiata Piper,NA,US47
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US47
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US47
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US47
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US47
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US47
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US47
ACNE2,NA,Acer negundo L.,boxelder,US47
ACNEN,NEAC,Negundo aceroides (L.) Moench,NA,US47
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",NA,US47
ACNEN,NA,Acer negundo L. var. negundo,boxelder,US47
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,NA,US47
ACNET,NA,Acer negundo L. var. texanum Pax,boxelder,US47
ACNET,ACNEL,Acer negundo L. ssp. latifolium (Pax) Schweri,NA,US47
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,NA,US47
ACNI5,NA,Acer nigrum Michx. f.,black maple,US47
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,NA,US47
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt),NA,US47
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f,NA,US47
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f,NA,US47
ACONI,NA,Aconitum L.,monkshood,US47
ACOP,NA,Acmella oppositifolia (Lam.) R.K. Jansen,oppositeleaf spotflower,US47
ACOPR,SPAM3,Spilanthes americana auct. non Hieron. p.p.,NA,US47
ACOPR,ACRE6,Acmella repens (Walter) Rich.,NA,US47
ACOPR,NA,Acmella oppositifolia (Lam.) R.K. Jansen var.,oppositeleaf spotflower,US47
ACOPR,SPAMR3,Spilanthes americana (Mutis ex L. f.) Hieron.,NA,US47
ACORU,NA,Acorus L.,sweetflag,US47
ACOS,NA,Acalypha ostryifolia Riddell,pineland threeseed mercury,US47
ACOS,ACCA8,Acalypha caroliniana Elliott,NA,US47
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,NA,US47
ACPA,NA,Actaea pachypoda Elliott,white baneberry,US47
ACPE,NA,Acer pensylvanicum L.,striped maple,US47
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nichol,NA,US47
ACPL,NA,Acer platanoides L.,Norway maple,US47
ACPO11,NA,Actaea podocarpa DC.,mountain bugbane,US47
ACPO11,CICO9,Cimicifuga cordifolia (DC.) Torr. & A. Gray,NA,US47
ACPO11,CIAM,Cimicifuga americana Michx.,NA,US47
ACPO11,CIRAC,Cimicifuga racemosa (L.) Nutt. var. cordifoli,NA,US47
ACPO11,ACCO25,Actaea cordifolia DC.,NA,US47
ACRA7,NA,Actaea racemosa L.,black baneberry,US47
ACRAR,NA,Actaea racemosa L. var. racemosa,black bugbane,US47
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,NA,US47
ACRE,NA,Aconitum reclinatum A. Gray,trailing white monkshood,US47
ACRH,NA,Acalypha rhomboidea Raf.,common threeseed mercury,US47
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) ,NA,US47
ACRU,ACBA2,Acer barbatum Michx. p.p.,NA,US47
ACRU,NA,Acer rubrum L.,red maple,US47
