symbol,synonym_symbol,scientific_name,common_name,fips_code
ABBA,NA,Abies balsamea (L.) Mill.,balsam fir,US50
ABBAB,NA,Abies balsamea (L.) Mill. var. balsamea,balsam fir,US50
ABBAB,PIBA3,Pinus balsamea L.,NA,US50
ABBAP,NA,Abies balsamea (L.) Mill. var. phanerolepis F,balsam fir,US50
ABBAP,ABPH,Abies ×phanerolepis (Fernald) Liu,NA,US50
ABIES,NA,Abies Mill.,fir,US50
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US50
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US50
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US50
ABUTI,NA,Abutilon Mill.,Indian mallow,US50
ACALY,NA,Acalypha L.,copperleaf,US50
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US50
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US50
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US50
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US50
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US50
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US50
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US50
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US50
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US50
ACCA4,NA,Acorus calamus L.,calamus,US50
ACER,NA,Acer L.,maple,US50
ACFI,NA,Achillea filipendulina Lam.,fernleaf yarrow,US50
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesma,NA,US50
ACGI,NA,Acer ginnala Maxim.,Amur maple,US50
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US50
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US50
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US50
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US50
ACHIL,NA,Achillea L.,yarrow,US50
ACINO,NA,Acinos Mill.,acinos,US50
ACLI2,NA,Achillea ligustica All.,Ligurian yarrow,US50
ACMI2,NA,Achillea millefolium L.,common yarrow,US50
ACMIM2,ACMA14,Achillea magna auct.,NA,US50
ACMIM2,NA,Achillea millefolium L. var. millefolium,common yarrow,US50
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US50
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US50
