symbol,synonym_symbol,scientific_name,common_name,fips_code
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",NA,US01
ABPR3,NA,Abrus precatorius L.,rosarypea,US01
ABRUS,NA,Abrus Adans.,abrus,US01
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US01
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US01
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US01
ABUTI,NA,Abutilon Mill.,Indian mallow,US01
ACAL2,ACAR17,Acalypha aristata Kunth,NA,US01
ACAL2,NA,Acalypha alopecuroidea Jacq.,foxtail copperleaf,US01
ACALY,NA,Acalypha L.,copperleaf,US01
ACANT3,NA,Acanthospermum Schrank,starbur,US01
ACAS,ACCA37,Achyranthes canescens R. Br.,NA,US01
ACAS,NA,Achyranthes aspera L.,devil's horsewhip,US01
ACASA,CEIN6,Centrostachys indica (L.) Standl.,NA,US01
ACASA,NA,Achyranthes aspera L. var. aspera,devil's horsewhip,US01
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,NA,US01
ACASA,ACIN4,Achyranthes indica (L.) Mill.,NA,US01
ACAU2,MEAU,Melampodium australe Loefl.,NA,US01
ACAU2,ACXA,Acanthospermum xanthioides DC.,NA,US01
ACAU2,NA,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US01
ACCA4,NA,Acorus calamus L.,calamus,US01
ACER,NA,Acer L.,maple,US01
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US01
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US01
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US01
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US01
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US01
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US01
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US01
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US01
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US01
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US01
