symbol,synonym_symbol,scientific_name,common_name,fips_code
ABAR,NA,Abronia argillosa S.L. Welsh & Goodrich,clay sand verbena,US08
ABCA,NA,Abronia carletonii J.M. Coult. & Fisher,Carleton's sand verbena,US08
ABCO,NA,Abies concolor (Gord. & Glend.) Lindl. ex Hil,white fir,US08
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hil,NA,US08
ABEL,ABSA3,Abronia salsa Rydb.,NA,US08
ABEL,ABPU2,Abronia pumila Rydb.,NA,US08
ABEL,ABRA,Abronia ramosa Standl.,NA,US08
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptic,NA,US08
ABEL,NA,Abronia elliptica A. Nelson,fragrant white sand verbena,US08
ABFR2,NA,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,US08
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucesc,NA,US08
ABIES,NA,Abies Mill.,fir,US08
ABIN,ABPR4,Abutilon pringlei Hochr.,NA,US08
ABIN,ABINI,Abutilon incanum (Link) Sweet ssp. incanum,NA,US08
ABIN,NA,Abutilon incanum (Link) Sweet,pelotazo,US08
ABIN,ABINP,Abutilon incanum (Link) Sweet ssp. pringlei (,NA,US08
ABLA,NA,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,US08
ABLAA,ABAR2,Abies arizonica Merriam,NA,US08
ABLAA,NA,Abies lasiocarpa (Hook.) Nutt. var. arizonica,corkbark fir,US08
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (,NA,US08
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (,NA,US08
ABLAL,NA,Abies lasiocarpa (Hook.) Nutt. var. lasiocarp,subalpine fir,US08
ABLAL,ABSU,Abies subalpina Engelmann,NA,US08
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm,NA,US08
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Ho,NA,US08
ABLAL,ABBI3,Abies bifolia A. Murray bis,NA,US08
ABNA,NA,Abronia nana S. Watson,dwarf sand verbena,US08
ABNAN,ABNAL,Abronia nana S. Watson var. lanciformis M.E. ,NA,US08
ABNAN,NA,Abronia nana S. Watson var. nana,dwarf sand verbena,US08
ABPA3,NA,Abutilon parvulum A. Gray,dwarf Indian mallow,US08
ABRON,NA,Abronia Juss.,sand verbena,US08
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US08
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US08
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US08
ABUTI,NA,Abutilon Mill.,Indian mallow,US08
ACAR14,STAR2,Stipa arida M.E. Jones,NA,US08
ACAR14,NA,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,US08
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US08
ACBL,STBL4,Stipa bloomeri Bol.,NA,US08
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,NA,US08
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,NA,US08
ACBL,NA,Achnatherum ×bloomeri (Bol.) Barkworth [hymen,NA,US08
ACCA4,NA,Acorus calamus L.,calamus,US08
ACCO22,STCO11,Stipa contracta (B.L. Johnson) W.A. Weber,NA,US08
ACCO22,NA,Achnatherum contractum (B.L. Johnson) Barkwor,contracted ricegrass,US08
ACCO22,ORCO3,Oryzopsis contracta (B.L. Johnson) Schltr.,NA,US08
