symbol,synonym_symbol,scientific_name,common_name,fips_code
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US10
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US10
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US10
ABUTI,NA,Abutilon Mill.,Indian mallow,US10
ACALY,NA,Acalypha L.,copperleaf,US10
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US10
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US10
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US10
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US10
ACCA4,NA,Acorus calamus L.,calamus,US10
ACER,NA,Acer L.,maple,US10
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US10
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US10
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US10
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US10
ACHIL,NA,Achillea L.,yarrow,US10
ACMI2,NA,Achillea millefolium L.,common yarrow,US10
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US10
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US10
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US10
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US10
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US10
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US10
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US10
ACMIO,ACRO4,Achillea rosea Desf.,NA,US10
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US10
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US10
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US10
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US10
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US10
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US10
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US10
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US10
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US10
ACMIO,ACER2,Achillea eradiata Piper,NA,US10
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US10
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US10
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US10
ACNE2,NA,Acer negundo L.,boxelder,US10
ACNEN,NA,Acer negundo L. var. negundo,boxelder,US10
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",NA,US10
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,NA,US10
ACNEN,NEAC,Negundo aceroides (L.) Moench,NA,US10
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt),NA,US10
ACNI5,NA,Acer nigrum Michx. f.,black maple,US10
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,NA,US10
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f,NA,US10
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,NA,US10
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f,NA,US10
ACORU,NA,Acorus L.,sweetflag,US10
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,NA,US10
ACPA,NA,Actaea pachypoda Elliott,white baneberry,US10
ACPA2,NA,Acer palmatum Thunb.,Japanese maple,US10
ACPL,NA,Acer platanoides L.,Norway maple,US10
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nichol,NA,US10
ACPS,NA,Acer pseudoplatanus L.,sycamore maple,US10
ACRA7,NA,Actaea racemosa L.,black baneberry,US10
ACRAD,CIRAD,Cimicifuga racemosa (L.) Nutt. var. dissecta ,NA,US10
ACRAD,NA,Actaea racemosa L. var. dissecta (A. Gray) J.,black baneberry,US10
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,NA,US10
ACRAR,NA,Actaea racemosa L. var. racemosa,black bugbane,US10
ACRH,NA,Acalypha rhomboidea Raf.,common threeseed mercury,US10
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) ,NA,US10
ACRU,NA,Acer rubrum L.,red maple,US10
ACRU,ACBA2,Acer barbatum Michx. p.p.,NA,US10
ACRUD,NA,Acer rubrum L. var. drummondii (Hook. & Arn. ,Drummond's maple,US10
ACRUD,ACRUD2,Acer rubrum L. ssp. drummondii (Hook. & Arn. ,NA,US10
ACRUD,RUDR3,Rufacer drummondii (Hook. & Arn. ex Nutt.) Sm,NA,US10
ACRUD,ACDR,Acer drummondii Hook. & Arn. ex Nutt.,NA,US10
ACRUR,ACST,Acer stenocarpum Britton,NA,US10
ACRUR,NA,Acer rubrum L. var. rubrum,red maple,US10
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,NA,US10
ACRUR,RURU5,Rufacer rubrum (L.) Small,NA,US10
ACRUT,NA,Acer rubrum L. var. trilobum Torr. & A. Gray ,red maple,US10
ACRUT,ACCA9,Acer carolinianum Walter,NA,US10
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,NA,US10
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,NA,US10
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,NA,US10
