symbol,synonym_symbol,scientific_name,common_name,fips_code
ABELM,NA,Abelmoschus Medik.,okra,US11
ABES,NA,Abelmoschus esculentus (L.) Moench,okra,US11
ABES,HIES,Hibiscus esculentus L.,NA,US11
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US11
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US11
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US11
ABUTI,NA,Abutilon Mill.,Indian mallow,US11
ACALY,NA,Acalypha L.,copperleaf,US11
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US11
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US11
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US11
ACCA4,NA,Acorus calamus L.,calamus,US11
ACER,NA,Acer L.,maple,US11
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US11
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US11
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US11
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US11
ACHIL,NA,Achillea L.,yarrow,US11
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,NA,US11
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Smal,NA,US11
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small),NA,US11
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Smal,NA,US11
ACLE,NA,Acer leucoderme Small,chalk maple,US11
ACMI2,NA,Achillea millefolium L.,common yarrow,US11
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US11
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US11
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US11
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US11
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US11
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US11
ACMIO,ACER2,Achillea eradiata Piper,NA,US11
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US11
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US11
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US11
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US11
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US11
ACMIO,ACRO4,Achillea rosea Desf.,NA,US11
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US11
