symbol,synonym_symbol,scientific_name,common_name,fips_code
ABFR,NA,Abies fraseri (Pursh) Poir.,Fraser fir,US13
ABFR,PIFR,Pinus fraseri Pursh,NA,US13
ABIES,NA,Abies Mill.,fir,US13
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",NA,US13
ABPR3,NA,Abrus precatorius L.,rosarypea,US13
ABRUS,NA,Abrus Adans.,abrus,US13
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US13
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US13
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US13
ABUTI,NA,Abutilon Mill.,Indian mallow,US13
ACALY,NA,Acalypha L.,copperleaf,US13
ACANT3,NA,Acanthospermum Schrank,starbur,US13
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US13
ACAU2,NA,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US13
ACAU2,ACXA,Acanthospermum xanthioides DC.,NA,US13
ACAU2,MEAU,Melampodium australe Loefl.,NA,US13
ACCA4,NA,Acorus calamus L.,calamus,US13
ACER,NA,Acer L.,maple,US13
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chap,NA,US13
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US13
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US13
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US13
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US13
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US13
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,NA,US13
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US13
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US13
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US13
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US13
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US13
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US13
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US13
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US13
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US13
ACHI,NA,Acanthospermum hispidum DC.,hispid starbur,US13
ACHIL,NA,Achillea L.,yarrow,US13
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,NA,US13
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small),NA,US13
ACLE,NA,Acer leucoderme Small,chalk maple,US13
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Smal,NA,US13
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Smal,NA,US13
ACMEL,NA,Acmella Rich. ex Pers.,spotflower,US13
ACMI2,NA,Achillea millefolium L.,common yarrow,US13
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US13
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US13
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US13
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US13
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US13
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US13
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US13
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US13
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US13
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US13
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US13
ACMIO,ACER2,Achillea eradiata Piper,NA,US13
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US13
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US13
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US13
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US13
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US13
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US13
ACMIO,ACRO4,Achillea rosea Desf.,NA,US13
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US13
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US13
ACNE2,NA,Acer negundo L.,boxelder,US13
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,NA,US13
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",NA,US13
ACNEN,NA,Acer negundo L. var. negundo,boxelder,US13
ACNEN,NEAC,Negundo aceroides (L.) Moench,NA,US13
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt),NA,US13
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f,NA,US13
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f,NA,US13
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,NA,US13
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,NA,US13
