symbol,synonym_symbol,scientific_name,common_name,fips_code
ABAU,NA,Abutilon auritum (Wall. ex Link) Sweet,Asian Indian mallow,US15
ABELM,NA,Abelmoschus Medik.,okra,US15
ABER,NA,Abutilon eremitopetalum Caum,hiddenpetal Indian mallow,US15
ABGR3,NA,Abutilon grandifolium (Willd.) Sweet,hairy Indian mallow,US15
ABIN,ABINP,Abutilon incanum (Link) Sweet ssp. pringlei (,NA,US15
ABIN,ABPR4,Abutilon pringlei Hochr.,NA,US15
ABIN,ABINI,Abutilon incanum (Link) Sweet ssp. incanum,NA,US15
ABIN,NA,Abutilon incanum (Link) Sweet,pelotazo,US15
ABIN3,NA,Abutilon indicum (L.) Sweet,monkeybush,US15
ABME2,NA,Abutilon menziesii Seem.,ko'oloa 'ula,US15
ABMO,NA,Abelmoschus moschatus Medik.,musk okra,US15
ABMO,HIAB,Hibiscus abelmoschus L.,NA,US15
ABPR3,NA,Abrus precatorius L.,rosarypea,US15
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",NA,US15
ABRUS,NA,Abrus Adans.,abrus,US15
ABSA2,NA,Abutilon sandwicense (O. Deg.) Christoph.,greenflower Indian mallow,US15
ABSA2,ABSA4,Abortopetalum sandwicense O. Deg.,NA,US15
ABSA2,ABSAW,Abutilon sandwicense (O. Deg.) Christoph. var,NA,US15
ABUTI,NA,Abutilon Mill.,Indian mallow,US15
ACACI,NA,Acacia Mill.,acacia,US15
ACAEN,NA,Acaena Mutis ex L.,acaena,US15
ACAN10,NA,Acacia aneura F. Muell. ex Benth.,mulga,US15
ACANT3,NA,Acanthospermum Schrank,starbur,US15
ACANT6,NA,Acanthocereus (Engelm. ex A. Berger) Britton ,triangle cactus,US15
ACAS,ACCA37,Achyranthes canescens R. Br.,NA,US15
ACAS,NA,Achyranthes aspera L.,devil's horsewhip,US15
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,NA,US15
ACASA,NA,Achyranthes aspera L. var. aspera,devil's horsewhip,US15
ACASA,CEIN6,Centrostachys indica (L.) Standl.,NA,US15
ACASA,ACIN4,Achyranthes indica (L.) Mill.,NA,US15
ACASP,NA,Achyranthes aspera L. var. pubescens (Moq.) T,devil's horsewhip,US15
ACAU2,NA,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US15
ACAU2,ACXA,Acanthospermum xanthioides DC.,NA,US15
ACAU2,MEAU,Melampodium australe Loefl.,NA,US15
ACAU3,NA,Acrostichum aureum L.,golden leatherfern,US15
ACCO,NA,Acacia confusa Merr.,small Philippine acacia,US15
ACEX,ACEXG2,Acaena exigua A. Gray var. glabriuscula Bitte,NA,US15
ACEX,NA,Acaena exigua A. Gray,liliwai,US15
ACEX,ACEXS,Acaena exigua A. Gray var. subtusstrigulosa B,NA,US15
ACEX,ACEXG,Acaena exigua A. Gray var. glaberrima Bitter,NA,US15
ACHI,NA,Acanthospermum hispidum DC.,hispid starbur,US15
ACHIL,NA,Achillea L.,yarrow,US15
ACHYR2,NA,Achyranthes L.,chaff flower,US15
ACKO,NA,Acacia koa A. Gray,koa,US15
ACKO,ACKOH,Acacia koa A. Gray var. hawaiiensis Rock,NA,US15
ACKO,ACKOL,Acacia koa A. Gray var. lanaiensis Rock,NA,US15
ACKO,ACKOW,Acacia koa A. Gray var. waimeae Hochr.,NA,US15
ACKO,ACKA,Acacia kauaiensis Hillebr.,NA,US15
ACKO2,NA,Acacia koaia Hillebr.,koaoha,US15
ACME,NA,Acacia melanoxylon R. Br.,blackwood,US15
ACME80,NA,Acacia mearnsii De Wild.,black wattle,US15
ACME80,ACDEM,Acacia decurrens (Wendl. f.) Willd. var. moll,NA,US15
ACMI2,NA,Achillea millefolium L.,common yarrow,US15
ACMIM2,ACMA14,Achillea magna auct.,NA,US15
ACMIM2,NA,Achillea millefolium L. var. millefolium,common yarrow,US15
ACMU2,NA,Achyranthes mutica A. Gray,blunt chaff flower,US15
ACMU2,ACNE3,Achyranthes nelsonii H. St. John,NA,US15
ACPA81,NA,Acacia parramattensis Tindale,South Wales wattle,US15
ACROS,NA,Acrostichum L.,leatherfern,US15
ACSP3,NA,Achyranthes splendens Mart. ex Moq.,Maui chaff flower,US15
ACSPA2,NA,Achyranthes splendens Mart. ex Moq. var. atol,NA,US15
ACSPA2,ACAT,Achyranthes atollensis H. St. John,NA,US15
ACSPR2,NA,Achyranthes splendens Mart. ex Moq. var. rotu,Maui chaff flower,US15
ACSPR2,ACSPR,Achyranthes splendens Mart. ex Moq. var. refl,NA,US15
ACSPS,NA,Achyranthes splendens Mart. ex Moq. var. sple,Maui chaff flower,US15
ACTE4,ACFL3,Acanthocereus floridanus Small ex Britton & R,NA,US15
ACTE4,CATE30,Cactus tetragonus L.,NA,US15
ACTE4,CEPE4,Cereus pentagonus (L.) Haw.,NA,US15
ACTE4,NA,Acanthocereus tetragonus (L.) Humm.,triangle cactus,US15
ACTE4,ACPE5,Acanthocereus pentagonus (L.) Britton & Rose,NA,US15
ADAB,NA,Adenophorus abietinus (D.C. Eaton) K.A. Wilso,elegant kihifern,US15
ADAB2,NA,Adenophorus ×abbottiae W.H. Wagner [hymenophy,kihifern,US15
ADCA,NA,Adiantum capillus-veneris L.,common maidenhair,US15
ADCA,ADCAM,Adiantum capillus-veneris L. var. modestum (U,NA,US15
ADCA,ADMO2,Adiantum modestum Underw.,NA,US15
ADCA,ADCAP,Adiantum capillus-veneris L. var. protrusum F,NA,US15
ADCA5,NA,Adenophorus ×carsonii T.A. Ranker [hymenophyl,kihifern,US15
ADENA,NA,Adenanthera L.,beadtree,US15
ADENO3,NA,Adenophorus Gaudich.,kihifern,US15
ADENO4,NA,Adenostemma J.R. Forst. & G. Forst.,medicineplant,US15
ADEP,ADTAE,Adenophorus tamariscinus (Kaulf.) Hook. & Gre,NA,US15
ADEP,NA,Adenophorus epigaeus (Bishop) W.H. Wagner,Kauai kihifern,US15
ADHA,NA,Adenophorus haalilioanus (Brack.) K.A. Wilson,island kihifern,US15
ADHA,POHA14,Polypodium haalilioanum Brack.,NA,US15
ADHI,NA,Adiantum hispidulum Sw.,rough maidenhair,US15
ADHY,AMHY3,Amphoradenium hymenophylloides (Kaulf.) Copel,NA,US15
ADHY,NA,Adenophorus hymenophylloides (Kaulf.) Hook. &,filmy kihifern,US15
ADHY,POHY5,Polypodium hymenophylloides Kaulf.,NA,US15
ADIAN,NA,Adiantum L.,maidenhair fern,US15
ADLA2,ADVI2,Adenostemma viscosum J.R. Forst. & G. Forst.,NA,US15
ADLA2,NA,Adenostemma lavenia (L.) Kuntze,common medicineplant,US15
ADLA2,VELA4,Verbesina lavenia L.,NA,US15
ADMO3,ADTAM,Adenophorus tamariscinus (Kaulf.) Hook. & Gre,NA,US15
ADMO3,NA,Adenophorus montanus (Hillebr.) W.H. Wagner,Maui kihifern,US15
ADOA,GROA,Grammitis oahuensis Copeland,NA,US15
ADOA,NA,Adenophorus oahuensis (Copeland) Bishop,Oahu kihifern,US15
ADPA,NA,Adenanthera pavonina L.,red beadtree,US15
ADPE2,NA,Adenophorus periens Bishop,pendant kihifern,US15
ADPI,POSA24,Polypodium sarmentosum Brack.,NA,US15
ADPI,NA,Adenophorus pinnatifidus Gaudich.,graceful kihifern,US15
