symbol,synonym_symbol,scientific_name,common_name,fips_code
ABCO,NA,Abies concolor (Gord. & Glend.) Lindl. ex Hil,white fir,US16
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hil,NA,US16
ABGR,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var.,NA,US16
ABGR,NA,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,US16
ABGR,ABGRI2,Abies grandis (Douglas ex D. Don) Lindl. ssp.,NA,US16
ABGR,ABGRI,Abies grandis (Douglas ex D. Don) Lindl. var.,NA,US16
ABGR,ABGRJ,Abies grandis (Douglas ex D. Don) Lindl. f. j,NA,US16
ABIES,NA,Abies Mill.,fir,US16
ABLA,NA,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,US16
ABLAL,NA,Abies lasiocarpa (Hook.) Nutt. var. lasiocarp,subalpine fir,US16
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm,NA,US16
ABLAL,ABSU,Abies subalpina Engelmann,NA,US16
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Ho,NA,US16
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (,NA,US16
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (,NA,US16
ABLAL,ABBI3,Abies bifolia A. Murray bis,NA,US16
ABME,NA,Abronia mellifera Douglas ex Hook.,white sand verbena,US16
ABRON,NA,Abronia Juss.,sand verbena,US16
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US16
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US16
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US16
ABUTI,NA,Abutilon Mill.,Indian mallow,US16
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US16
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US16
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US16
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US16
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US16
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US16
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US16
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US16
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US16
ACBL,NA,Achnatherum ×bloomeri (Bol.) Barkworth [hymen,NA,US16
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,NA,US16
ACBL,STBL4,Stipa bloomeri Bol.,NA,US16
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,NA,US16
ACCO4,NA,Aconitum columbianum Nutt.,Columbian monkshood,US16
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Green,NA,US16
ACCOC3,NA,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,US16
ACCOC3,ACGE3,Aconitum geranioides Greene,NA,US16
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Pipe,NA,US16
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A,NA,US16
ACCOC3,ACMO3,Aconitum mogollonicum Greene,NA,US16
ACCOC3,ACLE6,Aconitum leibergii Greene,NA,US16
ACER,NA,Acer L.,maple,US16
ACGL,NA,Acer glabrum Torr.,Rocky Mountain maple,US16
ACGLD4,NA,Acer glabrum Torr. var. douglasii (Hook.) Dip,Douglas maple,US16
ACGLD4,ACDO,Acer douglasii Hook.,NA,US16
ACGLD4,ACGLD2,Acer glabrum Torr. ssp. douglasii (Hook.) Wes,NA,US16
ACGLG2,NA,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,US16
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex,NA,US16
ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Kel,NA,US16
ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,NA,US16
ACGR3,NA,Acer grandidentatum Nutt.,bigtooth maple,US16
ACGRG,NA,Acer grandidentatum Nutt. var. grandidentatum,bigtooth maple,US16
ACGRG,ACSAG2,Acer saccharum Marshall ssp. grandidentatum (,NA,US16
ACGRG,SAGR17,Saccharodendron grandidentatum (Nutt.) Nieuwl,NA,US16
ACGRG,ACSAG3,Acer saccharum Marshall var. grandidentatum (,NA,US16
ACHE10,ORHE,Oryzopsis hendersonii Vasey,NA,US16
ACHE10,NA,Achnatherum hendersonii (Vasey) Barkworth,Henderson's needlegrass,US16
ACHE10,STHE5,Stipa hendersonii (Vasey) Muhl.,NA,US16
ACHIL,NA,Achillea L.,yarrow,US16
ACHNA,NA,Achnatherum P. Beauv.,needlegrass,US16
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker,NA,US16
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,NA,US16
ACHY,ERCU9,Eriocoma cuspidata Nutt.,NA,US16
ACHY,NA,Achnatherum hymenoides (Roem. & Schult.) Bark,Indian ricegrass,US16
ACINO,NA,Acinos Mill.,acinos,US16
ACLE8,NA,Achnatherum lemmonii (Vasey) Barkworth,Lemmon's needlegrass,US16
ACLE9,STLE4,Stipa lettermanii Vasey,NA,US16
ACLE9,NA,Achnatherum lettermanii (Vasey) Barkworth,Letterman's needlegrass,US16
ACLEL,NA,Achnatherum lemmonii (Vasey) Barkworth var. l,Lemmon's needlegrass,US16
ACLEL,STLE2,Stipa lemmonii (Vasey) Scribn.,NA,US16
ACLEL,ACLEL2,Achnatherum lemmonii (Vasey) Barkworth ssp. l,NA,US16
