symbol,synonym_symbol,scientific_name,common_name,fips_code
ABELM,NA,Abelmoschus Medik.,okra,US17
ABES,NA,Abelmoschus esculentus (L.) Moench,okra,US17
ABES,HIES,Hibiscus esculentus L.,NA,US17
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US17
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US17
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US17
ABUTI,NA,Abutilon Mill.,Indian mallow,US17
ACALY,NA,Acalypha L.,copperleaf,US17
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US17
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US17
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US17
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US17
ACCA4,NA,Acorus calamus L.,calamus,US17
ACDE4,NA,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,US17
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.),NA,US17
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,NA,US17
ACER,NA,Acer L.,maple,US17
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chap,NA,US17
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US17
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US17
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US17
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US17
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US17
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US17
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US17
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,NA,US17
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US17
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US17
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US17
ACGI,NA,Acer ginnala Maxim.,Amur maple,US17
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesma,NA,US17
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US17
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US17
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US17
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US17
ACHIL,NA,Achillea L.,yarrow,US17
ACMI2,NA,Achillea millefolium L.,common yarrow,US17
ACMIM2,NA,Achillea millefolium L. var. millefolium,common yarrow,US17
ACMIM2,ACMA14,Achillea magna auct.,NA,US17
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US17
ACMIO,ACER2,Achillea eradiata Piper,NA,US17
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US17
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US17
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US17
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US17
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US17
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US17
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US17
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US17
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US17
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US17
ACMIO,ACRO4,Achillea rosea Desf.,NA,US17
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US17
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US17
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US17
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US17
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US17
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US17
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US17
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US17
ACMO4,ACGRM,Acalypha gracilens A. Gray var. monococca Eng,NA,US17
ACMO4,ACVIM,Acalypha virginica L. var. monococca (Engelm.,NA,US17
ACMO4,NA,Acalypha monococca (Engelm. ex A. Gray) Lill.,slender threeseed mercury,US17
ACMO4,ACGRM2,Acalypha gracilens A. Gray ssp. monococca (En,NA,US17
ACNE2,NA,Acer negundo L.,boxelder,US17
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",NA,US17
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,NA,US17
