symbol,synonym_symbol,scientific_name,common_name,fips_code
ABFR2,NA,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,US20
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucesc,NA,US20
ABRON,NA,Abronia Juss.,sand verbena,US20
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US20
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US20
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US20
ABUTI,NA,Abutilon Mill.,Indian mallow,US20
ACACI2,NA,Acaciella Britton & Rose,NA,US20
ACALY,NA,Acalypha L.,copperleaf,US20
ACAN11,NA,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,US20
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,NA,US20
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose,NA,US20
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,NA,US20
ACANH2,NA,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,US20
ACANH2,ACHI3,Acacia hirta Nutt.,NA,US20
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texen,NA,US20
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,NA,US20
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta,NA,US20
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspi,NA,US20
ACANH2,ACCU,Acacia cuspidata Schltdl.,NA,US20
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US20
ACCA4,NA,Acorus calamus L.,calamus,US20
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,NA,US20
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.),NA,US20
ACDE4,NA,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,US20
ACER,NA,Acer L.,maple,US20
ACHIL,NA,Achillea L.,yarrow,US20
ACHNA,NA,Achnatherum P. Beauv.,needlegrass,US20
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,NA,US20
ACHY,NA,Achnatherum hymenoides (Roem. & Schult.) Bark,Indian ricegrass,US20
ACHY,ERCU9,Eriocoma cuspidata Nutt.,NA,US20
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker,NA,US20
ACMI2,NA,Achillea millefolium L.,common yarrow,US20
ACMIM2,ACMA14,Achillea magna auct.,NA,US20
ACMIM2,NA,Achillea millefolium L. var. millefolium,common yarrow,US20
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US20
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US20
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US20
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US20
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US20
ACMIO,ACER2,Achillea eradiata Piper,NA,US20
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US20
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US20
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US20
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US20
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US20
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US20
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US20
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US20
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US20
ACMIO,ACRO4,Achillea rosea Desf.,NA,US20
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US20
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US20
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US20
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US20
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US20
ACMO4,ACGRM,Acalypha gracilens A. Gray var. monococca Eng,NA,US20
ACMO4,ACVIM,Acalypha virginica L. var. monococca (Engelm.,NA,US20
ACMO4,ACGRM2,Acalypha gracilens A. Gray ssp. monococca (En,NA,US20
ACMO4,NA,Acalypha monococca (Engelm. ex A. Gray) Lill.,slender threeseed mercury,US20
ACNE2,NA,Acer negundo L.,boxelder,US20
ACNEI2,ACIN3,Acer interius Britton,NA,US20
ACNEI2,ACNEI,Acer negundo L. ssp. interius (Britton) Á. Lö,NA,US20
