symbol,synonym_symbol,scientific_name,common_name,fips_code
ABELM,NA,Abelmoschus Medik.,okra,US21
ABES,NA,Abelmoschus esculentus (L.) Moench,okra,US21
ABES,HIES,Hibiscus esculentus L.,NA,US21
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US21
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US21
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US21
ABUTI,NA,Abutilon Mill.,Indian mallow,US21
ACALY,NA,Acalypha L.,copperleaf,US21
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US21
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US21
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US21
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US21
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US21
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US21
ACCA4,NA,Acorus calamus L.,calamus,US21
ACCA5,NA,Acer campestre L.,hedge maple,US21
ACDE4,NA,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,US21
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.),NA,US21
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,NA,US21
ACER,NA,Acer L.,maple,US21
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US21
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US21
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,NA,US21
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US21
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US21
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US21
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US21
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US21
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chap,NA,US21
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US21
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US21
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US21
ACFR,NA,Acer ×freemanii A.E. Murray [rubrum × sacchar,Freeman maple,US21
ACGI,NA,Acer ginnala Maxim.,Amur maple,US21
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesma,NA,US21
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US21
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US21
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US21
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US21
ACHIL,NA,Achillea L.,yarrow,US21
ACHYR2,NA,Achyranthes L.,chaff flower,US21
ACINO,NA,Acinos Mill.,acinos,US21
ACJA,NA,Achyranthes japonica (Miq.) Nakai,Japanese chaff flower,US21
ACJAH,NA,Achyranthes japonica (Miq.) Nakai var. hachij,Japanese chaff flower,US21
ACMI2,NA,Achillea millefolium L.,common yarrow,US21
ACMIM2,NA,Achillea millefolium L. var. millefolium,common yarrow,US21
ACMIM2,ACMA14,Achillea magna auct.,NA,US21
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US21
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US21
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US21
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US21
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US21
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US21
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US21
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US21
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US21
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US21
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US21
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US21
ACMIO,ACRO4,Achillea rosea Desf.,NA,US21
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US21
ACMIO,ACER2,Achillea eradiata Piper,NA,US21
