symbol,synonym_symbol,scientific_name,common_name,fips_code
ABELM,NA,Abelmoschus Medik.,okra,US22
ABES,HIES,Hibiscus esculentus L.,NA,US22
ABES,NA,Abelmoschus esculentus (L.) Moench,okra,US22
ABHU,ABCO2,Abutilon commutatum auct. non K. Schum.,NA,US22
ABHU,ABPA4,Abutilon pauciflorum Sweet,NA,US22
ABHU,NA,Abutilon hulseanum (Torr. & A. Gray) Torr. ex,mauve,US22
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US22
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US22
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US22
ABUTI,NA,Abutilon Mill.,Indian mallow,US22
ACACI2,NA,Acaciella Britton & Rose,NA,US22
ACAL2,NA,Acalypha alopecuroidea Jacq.,foxtail copperleaf,US22
ACAL2,ACAR17,Acalypha aristata Kunth,NA,US22
ACALY,NA,Acalypha L.,copperleaf,US22
ACAN11,NA,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,US22
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,NA,US22
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texen,NA,US22
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,NA,US22
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose,NA,US22
ACANH2,NA,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,US22
ACANH2,ACCU,Acacia cuspidata Schltdl.,NA,US22
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,NA,US22
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta,NA,US22
ACANH2,ACHI3,Acacia hirta Nutt.,NA,US22
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspi,NA,US22
ACANT3,NA,Acanthospermum Schrank,starbur,US22
ACAS,NA,Achyranthes aspera L.,devil's horsewhip,US22
ACAS,ACCA37,Achyranthes canescens R. Br.,NA,US22
ACASA,ACIN4,Achyranthes indica (L.) Mill.,NA,US22
ACASA,CEIN6,Centrostachys indica (L.) Standl.,NA,US22
ACASA,NA,Achyranthes aspera L. var. aspera,devil's horsewhip,US22
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,NA,US22
ACAU2,ACXA,Acanthospermum xanthioides DC.,NA,US22
ACAU2,NA,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US22
ACAU2,MEAU,Melampodium australe Loefl.,NA,US22
ACCA4,NA,Acorus calamus L.,calamus,US22
ACER,NA,Acer L.,maple,US22
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US22
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US22
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chap,NA,US22
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US22
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US22
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US22
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US22
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,NA,US22
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US22
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US22
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US22
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US22
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US22
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US22
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US22
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US22
ACHIL,NA,Achillea L.,yarrow,US22
ACHYR2,NA,Achyranthes L.,chaff flower,US22
ACLE,NA,Acer leucoderme Small,chalk maple,US22
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Smal,NA,US22
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small),NA,US22
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,NA,US22
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Smal,NA,US22
ACMEL,NA,Acmella Rich. ex Pers.,spotflower,US22
ACMI2,NA,Achillea millefolium L.,common yarrow,US22
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US22
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US22
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US22
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US22
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US22
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US22
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US22
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US22
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US22
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US22
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US22
ACMIO,ACRO4,Achillea rosea Desf.,NA,US22
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US22
ACMIO,ACER2,Achillea eradiata Piper,NA,US22
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US22
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US22
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US22
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US22
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US22
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US22
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US22
ACMO4,ACVIM,Acalypha virginica L. var. monococca (Engelm.,NA,US22
ACMO4,ACGRM2,Acalypha gracilens A. Gray ssp. monococca (En,NA,US22
ACMO4,ACGRM,Acalypha gracilens A. Gray var. monococca Eng,NA,US22
ACMO4,NA,Acalypha monococca (Engelm. ex A. Gray) Lill.,slender threeseed mercury,US22
ACNE2,NA,Acer negundo L.,boxelder,US22
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",NA,US22
ACNEN,NEAC,Negundo aceroides (L.) Moench,NA,US22
ACNEN,NA,Acer negundo L. var. negundo,boxelder,US22
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,NA,US22
ACNET,ACNEL,Acer negundo L. ssp. latifolium (Pax) Schweri,NA,US22
ACNET,NA,Acer negundo L. var. texanum Pax,boxelder,US22
ACOP,NA,Acmella oppositifolia (Lam.) R.K. Jansen,oppositeleaf spotflower,US22
ACOPR,SPAM3,Spilanthes americana auct. non Hieron. p.p.,NA,US22
ACOPR,NA,Acmella oppositifolia (Lam.) R.K. Jansen var.,oppositeleaf spotflower,US22
ACOPR,ACRE6,Acmella repens (Walter) Rich.,NA,US22
ACOPR,SPAMR3,Spilanthes americana (Mutis ex L. f.) Hieron.,NA,US22
ACORU,NA,Acorus L.,sweetflag,US22
ACOS,NA,Acalypha ostryifolia Riddell,pineland threeseed mercury,US22
ACOS,ACCA8,Acalypha caroliniana Elliott,NA,US22
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,NA,US22
ACPA,NA,Actaea pachypoda Elliott,white baneberry,US22
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) ,NA,US22
ACRH,NA,Acalypha rhomboidea Raf.,common threeseed mercury,US22
ACRU,ACBA2,Acer barbatum Michx. p.p.,NA,US22
ACRU,NA,Acer rubrum L.,red maple,US22
ACRUD,RUDR3,Rufacer drummondii (Hook. & Arn. ex Nutt.) Sm,NA,US22
ACRUD,NA,Acer rubrum L. var. drummondii (Hook. & Arn. ,Drummond's maple,US22
ACRUD,ACRUD2,Acer rubrum L. ssp. drummondii (Hook. & Arn. ,NA,US22
ACRUD,ACDR,Acer drummondii Hook. & Arn. ex Nutt.,NA,US22
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,NA,US22
ACRUR,ACST,Acer stenocarpum Britton,NA,US22
ACRUR,NA,Acer rubrum L. var. rubrum,red maple,US22
ACRUR,RURU5,Rufacer rubrum (L.) Small,NA,US22
ACRUT,ACCA9,Acer carolinianum Walter,NA,US22
