symbol,synonym_symbol,scientific_name,common_name,fips_code
ABBA,NA,Abies balsamea (L.) Mill.,balsam fir,US23
ABBAB,NA,Abies balsamea (L.) Mill. var. balsamea,balsam fir,US23
ABBAB,PIBA3,Pinus balsamea L.,NA,US23
ABBAP,NA,Abies balsamea (L.) Mill. var. phanerolepis F,balsam fir,US23
ABBAP,ABPH,Abies ×phanerolepis (Fernald) Liu,NA,US23
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hil,NA,US23
ABCO,NA,Abies concolor (Gord. & Glend.) Lindl. ex Hil,white fir,US23
ABIES,NA,Abies Mill.,fir,US23
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US23
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US23
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US23
ABUTI,NA,Abutilon Mill.,Indian mallow,US23
ACALY,NA,Acalypha L.,copperleaf,US23
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US23
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US23
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US23
ACAR10,NA,Actinidia arguta (Siebold & Zucc.) Planch. ex,tara vine,US23
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US23
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US23
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US23
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US23
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US23
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US23
ACCA4,NA,Acorus calamus L.,calamus,US23
ACER,NA,Acer L.,maple,US23
ACFR,NA,Acer ×freemanii A.E. Murray [rubrum × sacchar,Freeman maple,US23
ACGI,NA,Acer ginnala Maxim.,Amur maple,US23
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesma,NA,US23
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US23
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US23
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US23
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US23
ACHIL,NA,Achillea L.,yarrow,US23
ACINO,NA,Acinos Mill.,acinos,US23
ACMI2,NA,Achillea millefolium L.,common yarrow,US23
ACMIB,NA,Achillea millefolium L. var. borealis (Bong.),boreal yarrow,US23
ACMIB,ACBO,Achillea borealis Bong.,NA,US23
ACMIB,ACMIA3,Achillea millefolium L. ssp. atrotegula B. Bo,NA,US23
ACMIB,ACMIB2,Achillea millefolium L. ssp. borealis (Bong.),NA,US23
ACMIB,ACBOT,Achillea borealis Bong. ssp. typica D.D. Keck,NA,US23
ACMIB,ACMIF2,Achillea millefolium L. var. fulva B. Boivin,NA,US23
ACMIB,ACMIP3,Achillea millefolium L. var. parviligula B. B,NA,US23
ACMIB,ACMIP4,Achillea millefolium L. var. parvula B. Boivi,NA,US23
ACMIM2,NA,Achillea millefolium L. var. millefolium,common yarrow,US23
ACMIM2,ACMA14,Achillea magna auct.,NA,US23
ACMIN,ACNI4,Achillea nigrescens (E. Mey.) Rydb.,NA,US23
ACMIN,NA,Achillea millefolium L. var. nigrescens E. Me,common yarrow,US23
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US23
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US23
ACMIO,ACRO4,Achillea rosea Desf.,NA,US23
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US23
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US23
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US23
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US23
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US23
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US23
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US23
ACMIO,ACER2,Achillea eradiata Piper,NA,US23
