symbol,synonym_symbol,scientific_name,common_name,fips_code
ABBA,NA,Abies balsamea (L.) Mill.,balsam fir,US24
ABBAB,NA,Abies balsamea (L.) Mill. var. balsamea,balsam fir,US24
ABBAB,PIBA3,Pinus balsamea L.,NA,US24
ABELM,NA,Abelmoschus Medik.,okra,US24
ABES,HIES,Hibiscus esculentus L.,NA,US24
ABES,NA,Abelmoschus esculentus (L.) Moench,okra,US24
ABIES,NA,Abies Mill.,fir,US24
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US24
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US24
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US24
ABUTI,NA,Abutilon Mill.,Indian mallow,US24
ACALY,NA,Acalypha L.,copperleaf,US24
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US24
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US24
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US24
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US24
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US24
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US24
ACAS,ACCA37,Achyranthes canescens R. Br.,NA,US24
ACAS,NA,Achyranthes aspera L.,devil's horsewhip,US24
ACASP,NA,Achyranthes aspera L. var. pubescens (Moq.) T,devil's horsewhip,US24
ACCA4,NA,Acorus calamus L.,calamus,US24
ACER,NA,Acer L.,maple,US24
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US24
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US24
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US24
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US24
ACHIL,NA,Achillea L.,yarrow,US24
ACHYR2,NA,Achyranthes L.,chaff flower,US24
ACINO,NA,Acinos Mill.,acinos,US24
ACMI2,NA,Achillea millefolium L.,common yarrow,US24
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US24
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US24
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US24
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US24
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US24
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US24
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US24
ACMIO,ACER2,Achillea eradiata Piper,NA,US24
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US24
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US24
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US24
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US24
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US24
ACMIO,ACRO4,Achillea rosea Desf.,NA,US24
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US24
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US24
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US24
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US24
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US24
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US24
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US24
ACNE2,NA,Acer negundo L.,boxelder,US24
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",NA,US24
ACNEN,NA,Acer negundo L. var. negundo,boxelder,US24
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,NA,US24
ACNEN,NEAC,Negundo aceroides (L.) Moench,NA,US24
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt),NA,US24
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,NA,US24
ACNI5,NA,Acer nigrum Michx. f.,black maple,US24
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f,NA,US24
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f,NA,US24
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,NA,US24
ACONI,NA,Aconitum L.,monkshood,US24
ACORU,NA,Acorus L.,sweetflag,US24
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,NA,US24
ACPA,NA,Actaea pachypoda Elliott,white baneberry,US24
ACPE,NA,Acer pensylvanicum L.,striped maple,US24
ACPL,NA,Acer platanoides L.,Norway maple,US24
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nichol,NA,US24
ACPO11,ACCO25,Actaea cordifolia DC.,NA,US24
ACPO11,CIAM,Cimicifuga americana Michx.,NA,US24
ACPO11,CIRAC,Cimicifuga racemosa (L.) Nutt. var. cordifoli,NA,US24
ACPO11,NA,Actaea podocarpa DC.,mountain bugbane,US24
ACPO11,CICO9,Cimicifuga cordifolia (DC.) Torr. & A. Gray,NA,US24
ACPS,NA,Acer pseudoplatanus L.,sycamore maple,US24
ACRA7,NA,Actaea racemosa L.,black baneberry,US24
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,NA,US24
ACRAR,NA,Actaea racemosa L. var. racemosa,black bugbane,US24
ACRH,NA,Acalypha rhomboidea Raf.,common threeseed mercury,US24
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) ,NA,US24
