symbol,synonym_symbol,scientific_name,common_name,fips_code
ABBA,NA,Abies balsamea (L.) Mill.,balsam fir,US26
ABBAB,PIBA3,Pinus balsamea L.,NA,US26
ABBAB,NA,Abies balsamea (L.) Mill. var. balsamea,balsam fir,US26
ABELM,NA,Abelmoschus Medik.,okra,US26
ABES,HIES,Hibiscus esculentus L.,NA,US26
ABES,NA,Abelmoschus esculentus (L.) Moench,okra,US26
ABIES,NA,Abies Mill.,fir,US26
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US26
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US26
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US26
ABUTI,NA,Abutilon Mill.,Indian mallow,US26
ACALY,NA,Acalypha L.,copperleaf,US26
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US26
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US26
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US26
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US26
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US26
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US26
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US26
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US26
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US26
ACCA4,NA,Acorus calamus L.,calamus,US26
ACER,NA,Acer L.,maple,US26
ACFI,NA,Achillea filipendulina Lam.,fernleaf yarrow,US26
ACGI,NA,Acer ginnala Maxim.,Amur maple,US26
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesma,NA,US26
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US26
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US26
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US26
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US26
ACHIL,NA,Achillea L.,yarrow,US26
ACINO,NA,Acinos Mill.,acinos,US26
ACLI2,NA,Achillea ligustica All.,Ligurian yarrow,US26
ACMI2,NA,Achillea millefolium L.,common yarrow,US26
ACMIB,ACMIB2,Achillea millefolium L. ssp. borealis (Bong.),NA,US26
ACMIB,NA,Achillea millefolium L. var. borealis (Bong.),boreal yarrow,US26
ACMIB,ACMIP3,Achillea millefolium L. var. parviligula B. B,NA,US26
ACMIB,ACBO,Achillea borealis Bong.,NA,US26
ACMIB,ACMIP4,Achillea millefolium L. var. parvula B. Boivi,NA,US26
ACMIB,ACMIF2,Achillea millefolium L. var. fulva B. Boivin,NA,US26
ACMIB,ACMIA3,Achillea millefolium L. ssp. atrotegula B. Bo,NA,US26
ACMIB,ACBOT,Achillea borealis Bong. ssp. typica D.D. Keck,NA,US26
ACMIM2,NA,Achillea millefolium L. var. millefolium,common yarrow,US26
ACMIM2,ACMA14,Achillea magna auct.,NA,US26
ACMIN,NA,Achillea millefolium L. var. nigrescens E. Me,common yarrow,US26
ACMIN,ACNI4,Achillea nigrescens (E. Mey.) Rydb.,NA,US26
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US26
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US26
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US26
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US26
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US26
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US26
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US26
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US26
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US26
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US26
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US26
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US26
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US26
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US26
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US26
ACMIO,ACER2,Achillea eradiata Piper,NA,US26
ACMIO,ACRO4,Achillea rosea Desf.,NA,US26
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US26
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US26
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US26
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US26
ACNA,NA,Aconitum napellus L.,Venus' chariot,US26
ACNE2,NA,Acer negundo L.,boxelder,US26
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",NA,US26
ACNEN,NA,Acer negundo L. var. negundo,boxelder,US26
ACNEN,NEAC,Negundo aceroides (L.) Moench,NA,US26
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,NA,US26
