symbol,synonym_symbol,scientific_name,common_name,fips_code
ABELM,NA,Abelmoschus Medik.,okra,US28
ABES,NA,Abelmoschus esculentus (L.) Moench,okra,US28
ABES,HIES,Hibiscus esculentus L.,NA,US28
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US28
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US28
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US28
ABUTI,NA,Abutilon Mill.,Indian mallow,US28
ACACI,NA,Acacia Mill.,acacia,US28
ACALY,NA,Acalypha L.,copperleaf,US28
ACANT3,NA,Acanthospermum Schrank,starbur,US28
ACAU2,ACXA,Acanthospermum xanthioides DC.,NA,US28
ACAU2,NA,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US28
ACAU2,MEAU,Melampodium australe Loefl.,NA,US28
ACCA4,NA,Acorus calamus L.,calamus,US28
ACER,NA,Acer L.,maple,US28
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US28
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US28
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US28
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US28
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US28
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US28
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,NA,US28
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US28
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US28
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US28
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chap,NA,US28
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US28
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US28
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US28
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US28
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US28
ACHIL,NA,Achillea L.,yarrow,US28
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,NA,US28
