symbol,synonym_symbol,scientific_name,common_name,fips_code
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US29
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US29
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US29
ABUTI,NA,Abutilon Mill.,Indian mallow,US29
ACACI2,NA,Acaciella Britton & Rose,NA,US29
ACALY,NA,Acalypha L.,copperleaf,US29
ACAN11,NA,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,US29
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,NA,US29
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose,NA,US29
ACANH2,ACCU,Acacia cuspidata Schltdl.,NA,US29
ACANH2,ACHI3,Acacia hirta Nutt.,NA,US29
ACANH2,NA,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,US29
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texen,NA,US29
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspi,NA,US29
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,NA,US29
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,NA,US29
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta,NA,US29
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US29
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US29
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US29
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US29
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US29
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US29
ACCA4,NA,Acorus calamus L.,calamus,US29
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,NA,US29
ACDE4,NA,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,US29
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.),NA,US29
ACER,NA,Acer L.,maple,US29
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US29
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US29
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US29
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,NA,US29
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US29
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US29
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US29
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US29
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US29
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US29
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US29
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chap,NA,US29
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US29
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US29
