symbol,synonym_symbol,scientific_name,common_name,fips_code
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hil,NA,US32
ABCO,NA,Abies concolor (Gord. & Glend.) Lindl. ex Hil,white fir,US32
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptic,NA,US32
ABEL,ABPU2,Abronia pumila Rydb.,NA,US32
ABEL,NA,Abronia elliptica A. Nelson,fragrant white sand verbena,US32
ABEL,ABRA,Abronia ramosa Standl.,NA,US32
ABEL,ABSA3,Abronia salsa Rydb.,NA,US32
ABIES,NA,Abies Mill.,fir,US32
ABLA,NA,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,US32
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (,NA,US32
ABLAL,NA,Abies lasiocarpa (Hook.) Nutt. var. lasiocarp,subalpine fir,US32
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm,NA,US32
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Ho,NA,US32
ABLAL,ABSU,Abies subalpina Engelmann,NA,US32
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (,NA,US32
ABLAL,ABBI3,Abies bifolia A. Murray bis,NA,US32
ABLO,NA,Abies lowiana (Gordon & Glend.) A. Murray bis,Sierra white fir,US32
ABLO,ABCOL,Abies concolor (Gord. & Glend.) Lindl. ex Hil,NA,US32
ABMA,NA,Abies magnifica A. Murray bis,California red fir,US32
ABNA,NA,Abronia nana S. Watson,dwarf sand verbena,US32
ABNAC,NA,Abronia nana S. Watson var. covillei (Heimerl,Coville's dwarf sand verbena,US32
ABNAC,ABNAC2,Abronia nana S. Watson ssp. covillei (Heimerl,NA,US32
ABNAN,NA,Abronia nana S. Watson var. nana,dwarf sand verbena,US32
ABNAN,ABNAL,Abronia nana S. Watson var. lanciformis M.E. ,NA,US32
ABPA3,NA,Abutilon parvulum A. Gray,dwarf Indian mallow,US32
ABPO,NA,Abronia pogonantha Heimerl,Mojave sand verbena,US32
ABRON,NA,Abronia Juss.,sand verbena,US32
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US32
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US32
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US32
ABTU,ABOR2,Abronia orbiculata Standl.,NA,US32
ABTU,NA,Abronia turbinata Torr. ex S. Watson,transmontane sand verbena,US32
ABTU,ABEX,Abronia exalata Standl.,NA,US32
ABUTI,NA,Abutilon Mill.,Indian mallow,US32
ABVI,NA,Abronia villosa S. Watson,desert sand verbena,US32
ABVIV,NA,Abronia villosa S. Watson var. villosa,desert sand verbena,US32
ACAMP,NA,Acamptopappus (A. Gray) A. Gray,goldenhead,US32
ACAR14,STAR2,Stipa arida M.E. Jones,NA,US32
ACAR14,NA,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,US32
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US32
ACBL,STBL4,Stipa bloomeri Bol.,NA,US32
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,NA,US32
ACBL,NA,Achnatherum ×bloomeri (Bol.) Barkworth [hymen,NA,US32
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,NA,US32
ACCO3,NA,Achyronychia cooperi Torr. & A. Gray,onyxflower,US32
ACCO4,NA,Aconitum columbianum Nutt.,Columbian monkshood,US32
ACCOC3,ACGE3,Aconitum geranioides Greene,NA,US32
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A,NA,US32
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Pipe,NA,US32
ACCOC3,ACLE6,Aconitum leibergii Greene,NA,US32
ACCOC3,ACMO3,Aconitum mogollonicum Greene,NA,US32
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Green,NA,US32
ACCOC3,NA,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,US32
ACER,NA,Acer L.,maple,US32
ACGL,NA,Acer glabrum Torr.,Rocky Mountain maple,US32
ACGLD3,NA,Acer glabrum Torr. var. diffusum (Greene) Smi,Rocky Mountain maple,US32
ACGLD3,ACDI,Acer diffusum Greene,NA,US32
ACGLD3,ACGLD,Acer glabrum Torr. ssp. diffusum (Greene) A.E,NA,US32
ACGLD4,ACGLD2,Acer glabrum Torr. ssp. douglasii (Hook.) Wes,NA,US32
ACGLD4,NA,Acer glabrum Torr. var. douglasii (Hook.) Dip,Douglas maple,US32
ACGLD4,ACDO,Acer douglasii Hook.,NA,US32
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex,NA,US32
ACGLG2,NA,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,US32
ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Kel,NA,US32
ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,NA,US32
ACGLT2,NA,Acer glabrum Torr. var. torreyi (Greene) Smil,Torrey maple,US32
ACGLT2,ACGLT,Acer glabrum Torr. ssp. torreyi (Greene) A.E.,NA,US32
ACGLT2,ACTO2,Acer torreyi Greene,NA,US32
ACGR3,NA,Acer grandidentatum Nutt.,bigtooth maple,US32
ACGRG,ACSAG2,Acer saccharum Marshall ssp. grandidentatum (,NA,US32
