symbol,synonym_symbol,scientific_name,common_name,fips_code
ABBA,NA,Abies balsamea (L.) Mill.,balsam fir,US36
ABBAB,PIBA3,Pinus balsamea L.,NA,US36
ABBAB,NA,Abies balsamea (L.) Mill. var. balsamea,balsam fir,US36
ABHO,NA,Abies homolepis Siebold & Zucc.,Nikko fir,US36
ABIES,NA,Abies Mill.,fir,US36
ABMA,NA,Abies magnifica A. Murray bis,California red fir,US36
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US36
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US36
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US36
ABUTI,NA,Abutilon Mill.,Indian mallow,US36
ACAG3,NA,Achillea ageratum L.,sweet-Nancy,US36
ACALY,NA,Acalypha L.,copperleaf,US36
ACAM,ACCA10,Acorus calamus auct. non L.,NA,US36
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D.,NA,US36
ACAM,NA,Acorus americanus (Raf.) Raf.,sweetflag,US36
ACANT3,NA,Acanthospermum Schrank,starbur,US36
ACAR10,NA,Actinidia arguta (Siebold & Zucc.) Planch. ex,tara vine,US36
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,US36
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,US36
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,US36
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,US36
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,US36
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US36
ACAU2,ACXA,Acanthospermum xanthioides DC.,NA,US36
ACAU2,NA,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US36
ACAU2,MEAU,Melampodium australe Loefl.,NA,US36
ACAU6,NA,Acalypha australis L.,Asian copperleaf,US36
ACAUL,NA,Acaulon Müll. Hal.,acaulon moss,US36
ACCA4,NA,Acorus calamus L.,calamus,US36
ACCA5,NA,Acer campestre L.,hedge maple,US36
ACDI6,NA,Achillea distans Waldst. & Kit. ex Willd.,Alps yarrow,US36
ACDI6,ACDE10,Achillea dentifera DC.,NA,US36
ACER,NA,Acer L.,maple,US36
