symbol,synonym_symbol,scientific_name,common_name,fips_code
ABAL3,NA,Abies alba Mill.,silver fir,US37
ABELI,NA,Abelia R. Br.,abelia,US37
ABELM,NA,Abelmoschus Medik.,okra,US37
ABES,NA,Abelmoschus esculentus (L.) Moench,okra,US37
ABES,HIES,Hibiscus esculentus L.,NA,US37
ABFI,NA,Abies firma Siebold & Zucc.,Momi fir,US37
ABFR,PIFR,Pinus fraseri Pursh,NA,US37
ABFR,NA,Abies fraseri (Pursh) Poir.,Fraser fir,US37
ABGR4,NA,Abelia ×grandiflora (Rovelli ex André) Rehder,glossy abelia,US37
ABIES,NA,Abies Mill.,fir,US37
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US37
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US37
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US37
ABUTI,NA,Abutilon Mill.,Indian mallow,US37
ACALY,NA,Acalypha L.,copperleaf,US37
ACANT3,NA,Acanthospermum Schrank,starbur,US37
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US37
ACAU2,NA,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US37
ACAU2,MEAU,Melampodium australe Loefl.,NA,US37
ACAU2,ACXA,Acanthospermum xanthioides DC.,NA,US37
ACCA4,NA,Acorus calamus L.,calamus,US37
ACER,NA,Acer L.,maple,US37
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chap,NA,US37
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US37
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US37
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US37
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US37
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US37
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US37
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US37
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,NA,US37
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US37
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US37
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US37
ACFR,NA,Acer ×freemanii A.E. Murray [rubrum × sacchar,Freeman maple,US37
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US37
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US37
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US37
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US37
ACHIL,NA,Achillea L.,yarrow,US37
ACICA,NA,Acicarpha Juss.,acicarpha,US37
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Smal,NA,US37
ACLE,NA,Acer leucoderme Small,chalk maple,US37
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small),NA,US37
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,NA,US37
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Smal,NA,US37
ACMEL,NA,Acmella Rich. ex Pers.,spotflower,US37
ACMI2,NA,Achillea millefolium L.,common yarrow,US37
ACMIO,ACRO4,Achillea rosea Desf.,NA,US37
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US37
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US37
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US37
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US37
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US37
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US37
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US37
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US37
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US37
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US37
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US37
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US37
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US37
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US37
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US37
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US37
