symbol,synonym_symbol,scientific_name,common_name,fips_code
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucesc,NA,US40
ABFR2,NA,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,US40
ABFR3,NA,Abutilon fruticosum Guill. & Perr.,Texas Indian mallow,US40
ABFR3,ABTE,Abutilon texense Torr. & A. Gray,NA,US40
ABRON,NA,Abronia Juss.,sand verbena,US40
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US40
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US40
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US40
ABUTI,NA,Abutilon Mill.,Indian mallow,US40
ACACI2,NA,Acaciella Britton & Rose,NA,US40
ACALY,NA,Acalypha L.,copperleaf,US40
ACAN11,NA,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,US40
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,NA,US40
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose,NA,US40
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,NA,US40
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta,NA,US40
ACANH2,ACHI3,Acacia hirta Nutt.,NA,US40
ACANH2,NA,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,US40
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texen,NA,US40
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspi,NA,US40
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,NA,US40
ACANH2,ACCU,Acacia cuspidata Schltdl.,NA,US40
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US40
ACCA4,NA,Acorus calamus L.,calamus,US40
ACER,NA,Acer L.,maple,US40
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,NA,US40
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chap,NA,US40
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US40
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US40
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US40
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US40
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US40
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US40
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US40
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US40
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US40
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US40
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US40
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US40
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US40
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US40
ACHIL,NA,Achillea L.,yarrow,US40
ACHNA,NA,Achnatherum P. Beauv.,needlegrass,US40
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker,NA,US40
ACHY,ERCU9,Eriocoma cuspidata Nutt.,NA,US40
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,NA,US40
ACHY,NA,Achnatherum hymenoides (Roem. & Schult.) Bark,Indian ricegrass,US40
ACLE,NA,Acer leucoderme Small,chalk maple,US40
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small),NA,US40
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Smal,NA,US40
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Smal,NA,US40
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,NA,US40
ACMEL,NA,Acmella Rich. ex Pers.,spotflower,US40
ACMI2,NA,Achillea millefolium L.,common yarrow,US40
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (V,NA,US40
ACMIO,ACGR5,Achillea gracilis Raf.,NA,US40
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,US40
ACMIO,ACRO4,Achillea rosea Desf.,NA,US40
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,US40
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,US40
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,US40
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,US40
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B.,NA,US40
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC,NA,US40
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,US40
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lune,NA,US40
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US40
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,US40
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) ,NA,US40
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper),NA,US40
ACMIO,ACER2,Achillea eradiata Piper,NA,US40
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,US40
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.),NA,US40
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) To,NA,US40
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.),NA,US40
ACMO4,ACGRM2,Acalypha gracilens A. Gray ssp. monococca (En,NA,US40
ACMO4,ACGRM,Acalypha gracilens A. Gray var. monococca Eng,NA,US40
ACMO4,ACVIM,Acalypha virginica L. var. monococca (Engelm.,NA,US40
ACMO4,NA,Acalypha monococca (Engelm. ex A. Gray) Lill.,slender threeseed mercury,US40
ACNE2,NA,Acer negundo L.,boxelder,US40
ACNEI2,ACNEI,Acer negundo L. ssp. interius (Britton) Á. Lö,NA,US40
ACNEI2,NEIN3,Negundo interius (Britton) Rydb.,NA,US40
ACNEI2,NA,Acer negundo L. var. interius (Britton) Sarg.,boxelder,US40
ACNEI2,ACIN3,Acer interius Britton,NA,US40
ACNEI2,NEACI,Negundo aceroides (L.) Moench ssp. interius (,NA,US40
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",NA,US40
ACNEN,NEAC,Negundo aceroides (L.) Moench,NA,US40
ACNEN,NA,Acer negundo L. var. negundo,boxelder,US40
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,NA,US40
ACNET,ACNEL,Acer negundo L. ssp. latifolium (Pax) Schweri,NA,US40
ACNET,NA,Acer negundo L. var. texanum Pax,boxelder,US40
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum ,NA,US40
ACNEV,NA,Acer negundo L. var. violaceum (G. Kirchn.) H,boxelder,US40
ACOP,NA,Acmella oppositifolia (Lam.) R.K. Jansen,oppositeleaf spotflower,US40
ACOPR,ACRE6,Acmella repens (Walter) Rich.,NA,US40
ACOPR,NA,Acmella oppositifolia (Lam.) R.K. Jansen var.,oppositeleaf spotflower,US40
ACOPR,SPAMR3,Spilanthes americana (Mutis ex L. f.) Hieron.,NA,US40
ACOPR,SPAM3,Spilanthes americana auct. non Hieron. p.p.,NA,US40
ACORU,NA,Acorus L.,sweetflag,US40
ACOS,NA,Acalypha ostryifolia Riddell,pineland threeseed mercury,US40
ACOS,ACCA8,Acalypha caroliniana Elliott,NA,US40
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,NA,US40
ACPA,NA,Actaea pachypoda Elliott,white baneberry,US40
ACRE3,CEPI3,Centaurea picris Pall. ex Willd.,NA,US40
ACRE3,NA,Acroptilon repens (L.) DC.,hardheads,US40
ACRE3,CERE6,Centaurea repens L.,NA,US40
ACRH,NA,Acalypha rhomboidea Raf.,common threeseed mercury,US40
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) ,NA,US40
ACROP,NA,Acroptilon Cass.,hardheads,US40
ACRU,ACBA2,Acer barbatum Michx. p.p.,NA,US40
ACRU,NA,Acer rubrum L.,red maple,US40
ACRUD,RUDR3,Rufacer drummondii (Hook. & Arn. ex Nutt.) Sm,NA,US40
ACRUD,ACDR,Acer drummondii Hook. & Arn. ex Nutt.,NA,US40
ACRUD,ACRUD2,Acer rubrum L. ssp. drummondii (Hook. & Arn. ,NA,US40
ACRUD,NA,Acer rubrum L. var. drummondii (Hook. & Arn. ,Drummond's maple,US40
ACRUR,NA,Acer rubrum L. var. rubrum,red maple,US40
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,NA,US40
ACRUR,RURU5,Rufacer rubrum (L.) Small,NA,US40
ACRUR,ACST,Acer stenocarpum Britton,NA,US40
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,NA,US40
ACRUT,NA,Acer rubrum L. var. trilobum Torr. & A. Gray ,red maple,US40
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,NA,US40
ACRUT,ACCA9,Acer carolinianum Walter,NA,US40
ACSA2,ACDA2,Acer dasycarpum Ehrh.,NA,US40
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,NA,US40
ACSA2,NA,Acer saccharinum L.,silver maple,US40
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,NA,US40
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,NA,US40
ACSA3,NA,Acer saccharum Marshall,sugar maple,US40
ACSAS,ACNIS2,Acer nigrum Michx. f. var. saccharophorum (K.,NA,US40
ACSAS,NA,Acer saccharum Marshall var. saccharum,sugar maple,US40
ACSAS,ACNIG,Acer nigrum Michx. f. var. glaucum (F. Schmid,NA,US40
ACSAS,ACSAR,Acer saccharum Marshall var. rugellii (Pax) R,NA,US40
ACSAS,ACSAG,Acer saccharum Marshall var. glaucum (F. Schm,NA,US40
ACSAS,SASA18,Saccharodendron saccharum (Marshall) Moldenke,NA,US40
ACSC11,NA,Achnatherum scribneri (Vasey) Barkworth,Scribner needlegrass,US40
ACSC11,STSC2,Stipa scribneri Vasey,NA,US40
ACTAE,NA,Actaea L.,baneberry,US40
ACVI,NA,Acalypha virginica L.,Virginia threeseed mercury,US40
ADCA,ADMO2,Adiantum modestum Underw.,NA,US40
ADCA,ADCAP,Adiantum capillus-veneris L. var. protrusum F,NA,US40
ADCA,NA,Adiantum capillus-veneris L.,common maidenhair,US40
ADCA,ADCAM,Adiantum capillus-veneris L. var. modestum (U,NA,US40
ADIAN,NA,Adiantum L.,maidenhair fern,US40
ADPE,NA,Adiantum pedatum L.,northern maidenhair,US40
AEBU,AEMI,Aesculus ×mississippiensis Sarg.,NA,US40
AEBU,NA,Aesculus ×bushii C.K. Schneid. (pro sp.) [gla,buckeye,US40
AECY,NA,Aegilops cylindrica Host,jointed goatgrass,US40
AECY,AETA3,Aegilops tauschii auct. non Coss.,NA,US40
AECY,TRCY3,"Triticum cylindricum (Host) Ces., Pass. & Gib",NA,US40
AECY,AECYR,Aegilops cylindrica Host var. rubiginosa Popo,NA,US40
AECY,CYCY5,Cylindropyrum cylindricum (Host) Á. Löve,NA,US40
AEGIL,NA,Aegilops L.,goatgrass,US40
AEGL,NA,Aesculus glabra Willd.,Ohio buckeye,US40
AEGLA,AEGLB,Aesculus glabra Willd. var. buckleyi Sarg.,NA,US40
AEGLA,AEAR2,Aesculus arguta Buckley,NA,US40
AEGLA,NA,Aesculus glabra Willd. var. arguta (Buckley) ,Ohio buckeye,US40
AEGLG,AEGLP,Aesculus glabra Willd. var. pallida (Willd.) ,NA,US40
AEGLG,AEGLM,Aesculus glabra Willd. var. micrantha Sarg.,NA,US40
AEGLG,AEGLM2,Aesculus glabra Willd. var. monticola Sarg.,NA,US40
AEGLG,NA,Aesculus glabra Willd. var. glabra,Ohio buckeye,US40
AEGLG,AEGLS,Aesculus glabra Willd. var. sargentii Rehder,NA,US40
AEGLG,AEGLL,Aesculus glabra Willd. var. leucodermis Sarg.,NA,US40
AEIN,NA,Aeschynomene indica L.,Indian jointvetch,US40
AEPA,NA,Aesculus pavia L.,red buckeye,US40
AEPAP,NA,Aesculus pavia L. var. pavia,red buckeye,US40
AEPAP,AESP,Aesculus splendens Sarg.,NA,US40
AEPAP,AEDIM,Aesculus discolor Pursh var. mollis (Raf.) Sa,NA,US40
AEPAP,AEPAD,Aesculus pavia L. var. discolor (Pursh) A. Gr,NA,US40
AEPAP,AEAU,Aesculus austrina Small,NA,US40
AEPAP,AEDI,Aesculus discolor Pursh,NA,US40
AESCH,NA,Aeschynomene L.,jointvetch,US40
AESCU,NA,Aesculus L.,buckeye,US40
