symbol,synonym_symbol,scientific_name,common_name,fips_code
ABAM,NA,Abies amabilis (Douglas ex Loudon) Douglas ex,Pacific silver fir,US41
ABCO,NA,Abies concolor (Gord. & Glend.) Lindl. ex Hil,white fir,US41
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hil,NA,US41
ABGR,ABGRI,Abies grandis (Douglas ex D. Don) Lindl. var.,NA,US41
ABGR,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var.,NA,US41
ABGR,ABGRI2,Abies grandis (Douglas ex D. Don) Lindl. ssp.,NA,US41
ABGR,NA,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,US41
ABGR,ABGRJ,Abies grandis (Douglas ex D. Don) Lindl. f. j,NA,US41
ABIES,NA,Abies Mill.,fir,US41
ABLA,NA,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,US41
ABLA2,NA,Abronia latifolia Eschsch.,coastal sand verbena,US41
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Ho,NA,US41
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm,NA,US41
ABLAL,NA,Abies lasiocarpa (Hook.) Nutt. var. lasiocarp,subalpine fir,US41
ABLAL,ABBI3,Abies bifolia A. Murray bis,NA,US41
ABLAL,ABSU,Abies subalpina Engelmann,NA,US41
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (,NA,US41
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (,NA,US41
ABLO,ABCOL,Abies concolor (Gord. & Glend.) Lindl. ex Hil,NA,US41
ABLO,NA,Abies lowiana (Gordon & Glend.) A. Murray bis,Sierra white fir,US41
ABMA,NA,Abies magnifica A. Murray bis,California red fir,US41
ABMAM,NA,Abies magnifica A. Murray bis var. magnifica,California red fir,US41
ABMAS,ABSH,Abies ×shastensis (Lemmon) Lemmon,NA,US41
ABMAS,ABMAC,Abies magnifica A. Murray bis var. critchfiel,NA,US41
ABMAS,NA,Abies magnifica A. Murray bis var. shastensis,Shasta red fir,US41
ABMAS,ABMAS2,Abies magnifica A. Murray bis ssp. shastensis,NA,US41
ABME,NA,Abronia mellifera Douglas ex Hook.,white sand verbena,US41
ABPR,NA,Abies procera Rehder,noble fir,US41
ABPR,ABNO,Abies nobilis (Douglas ex D. Don) Lindl.,NA,US41
ABRON,NA,Abronia Juss.,sand verbena,US41
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US41
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US41
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US41
ABTU,ABEX,Abronia exalata Standl.,NA,US41
ABTU,NA,Abronia turbinata Torr. ex S. Watson,transmontane sand verbena,US41
ABTU,ABOR2,Abronia orbiculata Standl.,NA,US41
ABUM,NA,Abronia umbellata Lam.,pink sand verbena,US41
ABUMB,NA,Abronia umbellata Lam. ssp. breviflora (Stand,pink sand verbena,US41
ABUMB,ABUMA3,Abronia umbellata Lam. var. acutalata (Standl,NA,US41
ABUMB,ABBR2,Abronia breviflora Standl.,NA,US41
ABUMB,ABUMA2,Abronia umbellata Lam. ssp. acutalata (Standl,NA,US41
