symbol,synonym_symbol,scientific_name,common_name,fips_code
ABELM,NA,Abelmoschus Medik.,okra,US45
ABES,HIES,Hibiscus esculentus L.,NA,US45
ABES,NA,Abelmoschus esculentus (L.) Moench,okra,US45
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US45
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US45
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US45
ABUTI,NA,Abutilon Mill.,Indian mallow,US45
ACALY,NA,Acalypha L.,copperleaf,US45
ACANT3,NA,Acanthospermum Schrank,starbur,US45
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US45
ACAU2,ACXA,Acanthospermum xanthioides DC.,NA,US45
ACAU2,MEAU,Melampodium australe Loefl.,NA,US45
ACAU2,NA,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US45
ACCA4,NA,Acorus calamus L.,calamus,US45
ACER,NA,Acer L.,maple,US45
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US45
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US45
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US45
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US45
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US45
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US45
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US45
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,NA,US45
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chap,NA,US45
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US45
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US45
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US45
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US45
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US45
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US45
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US45
ACHI,NA,Acanthospermum hispidum DC.,hispid starbur,US45
ACHIL,NA,Achillea L.,yarrow,US45
ACHU,NA,Acanthospermum humile (Sw.) DC.,low starbur,US45
ACHU,MEHU5,Melampodium humile Sw.,NA,US45
ACICA,NA,Acicarpha Juss.,acicarpha,US45
ACLE,NA,Acer leucoderme Small,chalk maple,US45
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Smal,NA,US45
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Smal,NA,US45
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,NA,US45
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small),NA,US45
ACMEL,NA,Acmella Rich. ex Pers.,spotflower,US45
ACMI2,NA,Achillea millefolium L.,common yarrow,US45
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Bo,NA,US45
