symbol,synonym_symbol,scientific_name,common_name,fips_code
ABAB,ABJA,Abutilon jacquinii G. Don,NA,US48
ABAB,ABLI,Abutilon lignosum (Cav.) G. Don,NA,US48
ABAB,NA,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indian mallow,US48
ABAB,ABAM5,Abutilon americanum (L.) Sweet,NA,US48
ABAM2,NA,Abronia ameliae Lundell,Amelia's sand verbena,US48
ABAN,ABANA,Abronia angustifolia Greene var. arizonica (S,NA,US48
ABAN,ABTO,Abronia torreyi Standl.,NA,US48
ABAN,NA,Abronia angustifolia Greene,purple sand verbena,US48
ABBE,NA,Abutilon berlandieri A. Gray ex S. Watson,Berlandier's Indian mallow,US48
ABBE,ABCA2,Abutilon californicum auct. non Benth.,NA,US48
ABCA,NA,Abronia carletonii J.M. Coult. & Fisher,Carleton's sand verbena,US48
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucesc,NA,US48
ABFR2,NA,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,US48
ABFR3,ABTE,Abutilon texense Torr. & A. Gray,NA,US48
ABFR3,NA,Abutilon fruticosum Guill. & Perr.,Texas Indian mallow,US48
ABHU,ABPA4,Abutilon pauciflorum Sweet,NA,US48
ABHU,NA,Abutilon hulseanum (Torr. & A. Gray) Torr. ex,mauve,US48
ABHU,ABCO2,Abutilon commutatum auct. non K. Schum.,NA,US48
ABHY,NA,Abutilon hypoleucum A. Gray,whiteleaf Indian mallow,US48
ABMA3,NA,Abutilon malacum S. Watson,yellow Indian mallow,US48
ABMA5,NA,Abronia macrocarpa L.A. Galloway,largefruit sand verbena,US48
ABMO2,ABSO,Abutilon sonorae A. Gray,NA,US48
ABMO2,NA,Abutilon mollicomum (Willd.) Sweet,Sonoran Indian mallow,US48
ABPA3,NA,Abutilon parvulum A. Gray,dwarf Indian mallow,US48
ABRON,NA,Abronia Juss.,sand verbena,US48
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US48
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US48
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US48
ABTR,NA,Abutilon trisulcatum (Jacq.) Urb.,anglestem Indian mallow,US48
ABTR,ABTR2,Abutilon triquetrum (L.) Sweet,NA,US48
ABUTI,NA,Abutilon Mill.,Indian mallow,US48
ABWR,NA,Abutilon wrightii A. Gray,Wright's Indian mallow,US48
ACAC,NA,Acleisanthes acutifolia Standl.,needletip trumpets,US48
ACACI2,NA,Acaciella Britton & Rose,NA,US48
ACALY,NA,Acalypha L.,copperleaf,US48
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,NA,US48
ACAN11,NA,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,US48
ACAN2,NA,Acleisanthes anisophylla A. Gray,obliqueleaf trumpets,US48
ACANC3,NA,Acaciella angustissima (Mill.) Britton & Rose,Chisos prairie acacia,US48
ACANC3,ACANC,Acacia angustissima (Mill.) Kuntze var. chiso,NA,US48
ACANH2,ACCU,Acacia cuspidata Schltdl.,NA,US48
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texen,NA,US48
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,NA,US48
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspi,NA,US48
ACANH2,NA,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,US48
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose,NA,US48
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,NA,US48
ACANH2,ACHI3,Acacia hirta Nutt.,NA,US48
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta,NA,US48
ACANT3,NA,Acanthospermum Schrank,starbur,US48
ACANT6,NA,Acanthocereus (Engelm. ex A. Berger) Britton ,triangle cactus,US48
ACAR14,NA,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,US48
ACAR14,STAR2,Stipa arida M.E. Jones,NA,US48
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US48
ACAS,NA,Achyranthes aspera L.,devil's horsewhip,US48
ACAS,ACCA37,Achyranthes canescens R. Br.,NA,US48
ACASP,NA,Achyranthes aspera L. var. pubescens (Moq.) T,devil's horsewhip,US48
ACAU2,ACXA,Acanthospermum xanthioides DC.,NA,US48
ACAU2,MEAU,Melampodium australe Loefl.,NA,US48
ACAU2,NA,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US48
ACCA4,NA,Acorus calamus L.,calamus,US48
ACCL7,NA,Achnatherum clandestinum (Hack.) Barkworth,Mexican ricegrass,US48
ACCL7,STCL5,Stipa clandestina Hack.,NA,US48
ACCR,NA,Acleisanthes crassifolia A. Gray,Texas trumpets,US48
ACCU6,STCU2,Stipa curvifolia Swallen,NA,US48
ACCU6,NA,Achnatherum curvifolium (Swallen) Barkworth,Guadalupe ricegrass,US48
ACEM4,STEM2,Stipa eminens Cav.,NA,US48
ACEM4,NA,Achnatherum eminens (Cav.) Barkworth,southwestern needlegrass,US48
ACER,NA,Acer L.,maple,US48
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,NA,US48
ACFL,ACBA3,Acer barbatum Michx. p.p.,NA,US48
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Re,NA,US48
ACFL,NA,Acer floridanum (Chapm.) Pax,southern sugar maple,US48
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fe,NA,US48
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) A,NA,US48
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,NA,US48
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,NA,US48
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.,NA,US48
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fern,NA,US48
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chap,NA,US48
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chap,NA,US48
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray,NA,US48
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll,NA,US48
ACGR2,NA,Acalypha gracilens A. Gray,slender threeseed mercury,US48
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mil,NA,US48
ACGR3,NA,Acer grandidentatum Nutt.,bigtooth maple,US48
ACGRG,SAGR17,Saccharodendron grandidentatum (Nutt.) Nieuwl,NA,US48
