symbol,synonym_symbol,scientific_name,common_name,fips_code
ABGR3,NA,Abutilon grandifolium (Willd.) Sweet,hairy Indian mallow,US74
ABIN3,NA,Abutilon indicum (L.) Sweet,monkeybush,US74
ABINA,NA,Abutilon indicum (L.) Sweet ssp. albescens (M,NA,US74
ABINA,ABASA,Abutilon asiaticum (L.) Sweet var. albescens ,NA,US74
ABUTI,NA,Abutilon Mill.,Indian mallow,US74
ACALY,NA,Acalypha L.,copperleaf,US74
ACHYR2,NA,Achyranthes L.,chaff flower,US74
ACIN12,NA,Acalypha indica L.,Indian acalypha,US74
ACSP3,NA,Achyranthes splendens Mart. ex Moq.,Maui chaff flower,US74
ACSPA2,ACAT,Achyranthes atollensis H. St. John,NA,US74
ACSPA2,NA,Achyranthes splendens Mart. ex Moq. var. atol,NA,US74
AGAT2,NA,Agave attenuata Salm-Dyck,NA,US74
AGAVE,NA,Agave L.,agave,US74
AGSI2,NA,Agave sisalana Perrine,sisal hemp,US74
AGSI2,AGRIS,Agave rigida Mill. var. sisalana (Perrine) En,NA,US74
ALBIZ,NA,Albizia Durazz.,albizia,US74
ALCE,ALCEP,Allium cepa L. var. proliferum (Moench) Regel,NA,US74
ALCE,ALCEM,Allium cepa L. var. multiplicans L.H. Bailey,NA,US74
ALCE,NA,Allium cepa L.,garden onion,US74
ALCE,ALCEC,Allium cepa L. var. cepa,NA,US74
ALCE,ALCES,Allium cepa L. var. solaninum Alef.,NA,US74
ALCE,ALCEA2,Allium cepa L. var. aggregatum G. Don,NA,US74
ALCU5,NA,Alocasia cucullata (Lour.) G. Don,chinese taro,US74
ALFI8,NA,Alternanthera ficoidea (L.) P. Beauv.,sanguinaria,US74
ALFI8,ACFI2,Achyranthes ficoidea auct. non (L.) Lam.,NA,US74
ALFI8,ALTE4,Alternanthera tenella Colla,NA,US74
ALLE,MILE6,Mimosa lebbeck L.,NA,US74
ALLE,NA,Albizia lebbeck (L.) Benth.,woman's tongue,US74
ALLIU,NA,Allium L.,onion,US74
ALMA11,ARIN21,Arum indicum Lour.,NA,US74
ALMA11,NA,Alocasia macrorrhizos (L.) G. Don,giant taro,US74
ALMA11,ALAL11,Alocasia alba Schott,NA,US74
ALMA11,ALMA17,"Alocasia macrorrhiza (L.) Schott, orth. var.",NA,US74
ALMA11,ALCR14,Alocasia crassifolia Engl.,NA,US74
ALMA11,ALIN10,Alocasia indica (Lour.) Spach,NA,US74
ALMA11,COIN13,Colocasia indica (Lour.) Kunth,NA,US74
ALOCA,NA,Alocasia (Schott) G. Don,taro,US74
ALTER2,NA,Alternanthera Forssk.,joyweed,US74
AMAR4,NA,Ammophila arenaria (L.) Link,European beachgrass,US74
AMARA,NA,Amaranthus L.,pigweed,US74
AMBL2,NA,Amaranthus blitum L.,purple amaranth,US74
AMBLE2,NA,Amaranthus blitum L. var. emarginatus (Salzm.,purple amaranth,US74
AMBLE2,AMBLE,Amaranthus blitum L. ssp. emarginatus (Moq. e,NA,US74
AMBLE2,AMLI,Amaranthus lividus auct. non L.,NA,US74
AMBLP,NA,Amaranthus blitum L. var. pseudogracilis (The,purple amaranth,US74
AMBLP,AMLIP,Amaranthus lividus L. var. polygonoides (Moq.,NA,US74
AMBLP,AMLIP2,Amaranthus lividus L. ssp. polygonoides (Moq.,NA,US74
AMDU,NA,Amaranthus dubius Mart. ex Thell.,spleen amaranth,US74
AMGR13,NA,Amaranthus graecizans L.,Mediterranean amaranth,US74
AMHY,NA,Amaranthus hybridus L.,slim amaranth,US74
AMHY,AMPA11,Amaranthus patulus Bertol.,NA,US74
AMHY,AMCH7,Amaranthus chlorostachys Willd.,NA,US74
AMHY,AMIN6,Amaranthus incurvatus Tim. ex Gren. & Godr.,NA,US74
AMIN8,NA,Amaranthus interruptus R. Br.,NA,US74
AMMOP,NA,Ammophila Host,beachgrass,US74
AMSP,NA,Amaranthus spinosus L.,spiny amaranth,US74
AMTR2,AMGA,Amaranthus gangeticus L.,NA,US74
AMTR2,NA,Amaranthus tricolor L.,Joseph's-coat,US74
AMVI,AMGR10,Amaranthus gracilis Desf.,NA,US74
AMVI,NA,Amaranthus viridis L.,slender amaranth,US74
AMVI,AMVI5,"Amaranthus viridus L., orth. var.",NA,US74
ANAGA,NA,Anagallis L.,pimpernel,US74
ANAN15,NA,Anthurium andraeanum Linden,flamingo-lily,US74
ANANA,NA,Ananas Mill.,pineapple,US74
ANAR,NA,Anagallis arvensis L.,scarlet pimpernel,US74
ANAR,LYAR6,Lysimachia arvensis (L.) U. Manns & Anderb.,NA,US74
ANCO30,NA,Ananas comosus (L.) Merr.,pineapple,US74
ANCO30,BRCO11,Bromelia comosa L.,NA,US74
ANCO30,ANAN11,"Ananas ananas (L.) Voss, nom. inval.",NA,US74
ANDRO2,NA,Andropogon L.,bluestem,US74
ANETH,NA,Anethum L.,dill,US74
ANGR2,NA,Anethum graveolens L.,dill,US74
ANLE4,NA,Antigonon leptopus Hook. & Arn.,coral vine,US74
ANLE4,COLE5,Corculum leptopum (Hook. & Arn.) Stuntz,NA,US74
ANMU2,NA,Annona muricata L.,soursop,US74
ANNON,NA,Annona L.,annona,US74
ANTHU,NA,Anthurium Schott,laceleaf,US74
ANTIG,NA,Antigonon Endl.,antigonon,US74
ANVI2,NA,Andropogon virginicus L.,broomsedge bluestem,US74
ARAUC2,NA,Araucaria Juss.,araucaria,US74
ARHE12,NA,Araucaria heterophylla (Salisb.) Franco,Norfolk Island pine,US74
ASGA2,NA,Asystasia gangetica (L.) T. Anderson,Chinese violet,US74
ASGA2,JUGA,Justicia gangetica L.,NA,US74
ASGA2,ASCO34,Asystasia coromandeliana Nees,NA,US74
ASNI,NA,Asplenium nidus L.,Hawai'I birdnest fern,US74
ASPLE,NA,Asplenium L.,spleenwort,US74
ASYST,NA,Asystasia Blume,asystasia,US74
BACOP,NA,Bacopa Aubl.,waterhyssop,US74
BAMO,NA,Bacopa monnieri (L.) Pennell,herb of grace,US74
BAMO,BRMO5,Bramia monnieri (L.) Drake,NA,US74
BAMO,LYMO,Lysimachia monnieri L.,NA,US74
BIAL,NA,Bidens alba (L.) DC.,romerillo,US74
BIALR,BIPIR,Bidens pilosa L. var. radiata Sch. Bip.,NA,US74
BIALR,NA,Bidens alba (L.) DC. var. radiata (Sch. Bip.),romerillo,US74
BIDEN,NA,Bidens L.,beggarticks,US74
BIPI,BIPIM,Bidens pilosa L. var. minor (Blume) Sherff,NA,US74
BIPI,BIPIP2,Bidens pilosa L. var. pilosa,NA,US74
BIPI,NA,Bidens pilosa L.,hairy beggarticks,US74
BIPI,BIPIB,Bidens pilosa L. var. bimucronata (Turcz.) Sc,NA,US74
BIPI,BIOD,Bidens odorata Cav.,NA,US74
BOAL6,NA,Boerhavia albiflora Fosberg,NA,US74
BOALP,NA,Boerhavia albiflora Fosberg var. powelliae,NA,US74
BOBU3,NA,Bougainvillea ×buttiana Holttum & Standl. [[g,bougainvillea,US74
BOERH2,NA,Boerhavia L.,spiderling,US74
BOPE2,NA,Bothriochloa pertusa (L.) A. Camus,pitted beardgrass,US74
BOPE2,HOPE3,Holcus pertusus L.,NA,US74
BOPE2,ANPE7,Andropogon pertusus (L.) Willd.,NA,US74
BORE4,BODIT,Boerhavia diffusa L. var. tetrandra (G. Forst,NA,US74
