symbol,synonym_symbol,scientific_name,common_name,fips_code
ABAR,NA,Abronia argillosa S.L. Welsh & Goodrich,clay sand verbena,US49
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hil,NA,US49
ABCO,NA,Abies concolor (Gord. & Glend.) Lindl. ex Hil,white fir,US49
ABEL,ABRA,Abronia ramosa Standl.,NA,US49
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptic,NA,US49
ABEL,ABSA3,Abronia salsa Rydb.,NA,US49
ABEL,ABPU2,Abronia pumila Rydb.,NA,US49
ABEL,NA,Abronia elliptica A. Nelson,fragrant white sand verbena,US49
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucesc,NA,US49
ABFR2,NA,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,US49
ABIES,NA,Abies Mill.,fir,US49
ABLA,NA,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,US49
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (,NA,US49
ABLAL,ABSU,Abies subalpina Engelmann,NA,US49
ABLAL,NA,Abies lasiocarpa (Hook.) Nutt. var. lasiocarp,subalpine fir,US49
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (,NA,US49
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Ho,NA,US49
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm,NA,US49
ABLAL,ABBI3,Abies bifolia A. Murray bis,NA,US49
ABME,NA,Abronia mellifera Douglas ex Hook.,white sand verbena,US49
ABNA,NA,Abronia nana S. Watson,dwarf sand verbena,US49
ABNAH,NA,Abronia nana S. Watson var. harrisii S.L. Wel,Harris' dwarf sand verbena,US49
ABNAN,ABNAL,Abronia nana S. Watson var. lanciformis M.E. ,NA,US49
ABNAN,NA,Abronia nana S. Watson var. nana,dwarf sand verbena,US49
ABPA3,NA,Abutilon parvulum A. Gray,dwarf Indian mallow,US49
ABRON,NA,Abronia Juss.,sand verbena,US49
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US49
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US49
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US49
ABUTI,NA,Abutilon Mill.,Indian mallow,US49
ABVI,NA,Abronia villosa S. Watson,desert sand verbena,US49
ABVIV,NA,Abronia villosa S. Watson var. villosa,desert sand verbena,US49
ACAMP,NA,Acamptopappus (A. Gray) A. Gray,goldenhead,US49
ACAR14,NA,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,US49
ACAR14,STAR2,Stipa arida M.E. Jones,NA,US49
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US49
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,NA,US49
ACBL,STBL4,Stipa bloomeri Bol.,NA,US49
ACBL,NA,Achnatherum ×bloomeri (Bol.) Barkworth [hymen,NA,US49
